word,event,register,period,sentence,timestamp
drop,nft,formal,before,Britain’s financial services sector suffered a drop in profits and a spike in bad debts even before the coronavirus prompted a countrywide lockdown.,2020-04-13T23:01:25Z
drop,nft,formal,before,"The latest CBI/PwC financial services survey paints a disappointing picture for the sector, with banks, insurers and fund managers already reporting a drop in optimism over the three months to March – and rising concerns about the Covid-19 pandemic.",2020-04-13T23:01:25Z
drop,nft,formal,before,"The report, which polled 103 firms, found that profitability fell slightly: 27% of firms reported a drop in profits versus 24% which reported a rise, giving a rounded-up balance of -4%.",2020-04-13T23:01:25Z
drop,nft,formal,before,"While some firms expect to increase spending on IT, overall investment is expected to drop due in part to uncertainty about business demand over the months ahead.",2020-04-13T23:01:25Z
drop,nft,formal,before,"But like other businesses, they’ve also been struck by staff shortages and changes to how they operate.” While about 30% of financial services firms said they had hired more staff, 39% reported a drop in headcount, resulting in a score of -9%, which was the fastest decline in employment in a year.",2020-04-13T23:01:25Z
drop,nft,formal,before,"IAG, the owner of BA and Iberia, warned it was suffering from weak passenger demand across both continents, including a drop in business travel around the world as companies impose travel restrictions and cancel big industry events.",2020-02-28T13:33:51Z
drop,nft,formal,before,"The update was released as part of IAG’s full-year results, which showed a 34% drop in pre-tax profits to €2.3bn (£2bn) despite a 5% rise in revenue to €22bn (£18.8bn).",2020-02-28T13:33:51Z
drop,nft,formal,before,"In the words of Nicholas Hyett, an equity analyst at investment group Hargreaves Lansdown: “The world has changed since the last FTSE review at the beginning of March.” Yet only four companies are expected to drop down to the FTSE 250 at the upcoming quarterly review – a decision based on market values at the close of play on Tuesday.",2020-05-30T23:01:55Z
drop,nft,formal,before,"“Admittedly, the small month-to-month drop in GDP was driven largely by a hefty 1.7% decline in construction output, which can be attributed to exceptionally high rainfall, an unprecedented three times its seasonal norm.",2020-04-09T10:28:34Z
drop,nft,formal,before,The top lines for today have been: A drop in the proportion of A-level results at the top grades to the lowest level in more than a decade.,2019-08-15T14:04:30Z
drop,nft,formal,before,"With all the commentary around the drop in entries to arts and humanities, the British Academy, the national body for humanities and social sciences, has warned that falling numbers in subjects such as English and modern languages could harm the chances of the UK “achieving its strategic goals”.",2019-08-15T14:04:30Z
drop,nft,formal,before,"It points out that in the past two decades there has been a steep drop in the number of pupils studying languages at secondary school – and this year A-level numbers continue to fall, with a 5% decline in take-up in England this year, compared with 2018.",2019-08-15T14:04:30Z
drop,nft,formal,before,"Prof Tom McLeish, the chair of the society’s education committee, warned “education is not a zero-sum game” and raised particular concerns over the drop in English entries.",2019-08-15T14:04:30Z
drop,nft,formal,before,"While the first year of the reformed mathematics A-level has seen a small but not unexpected drop in numbers, it still remains the most popular A-level, with a positive increase in the number of students getting the top grade.",2019-08-15T14:04:30Z
drop,nft,formal,before,"As Sally Weale wrote on Wednesday, the exams watchdog, Ofqual, reported a 13% drop in entries for all types of English A-levels between 2018 and 2019.",2019-08-15T14:04:30Z
drop,nft,formal,before,The 1% fall in the overall numbers of students placed on an undergraduate course – highlighted below – can perhaps partly be explained by a 1.9% drop in the number of 18-year-olds in the UK population.,2019-08-15T14:04:30Z
drop,nft,formal,before,"The author and former teacher Joanne Harris, whose works included the best-selling novel Chocolat, said: We should be very, very concerned at this drop in the study of English.",2019-08-15T14:04:30Z
drop,nft,formal,before,But experts believe the drop is likely to be limited and could be short-term given much of the economy – including big industry and manufacturing – has largely continued to operate through the coronavirus pandemic and road transport has begun to increase.,2020-07-02T00:00:36Z
drop,nft,formal,before,"Saddler, a consultant and honorary associate professor at ANU’s Crawford School of Public Policy, found transport emissions fell sharply due to a 36% fall in sales of petrol, liquified petroleum gas (LPG) and diesel used in light vehicles and a 77% drop in domestic aviation fuel consumption.",2020-07-02T00:00:36Z
drop,nft,formal,before,Angus Taylor has defended the government’s record on renewable energy as Labor and the Greens ambushed the minister over a sudden drop in investment in clean energy.,2019-09-11T18:00:25Z
drop,nft,formal,before,"“We are concerned that this drop in attendance may mean that people with serious health problems are avoiding going to their emergency department for fear of getting coronavirus,” said the college’s president, Dr Katherine Henderson.",2020-04-13T13:54:10Z
drop,nft,formal,before,But there has been a sharp drop in complaints being made to the police.,2020-04-28T13:41:44Z
drop,nft,formal,before,"Many women feel guilty because they’re going to send their children’s father to prison.” María Ángeles Carmona, president of the government agency dealing with gender violence, believes the drop in police reports can be partly attributed to restrictions on freedom of movement.",2020-04-28T13:41:44Z
drop,nft,formal,before,"The decision to drop the designation comes ahead of the announcement of a trade deal between the two sides, expected on Wednesday.",2020-01-14T08:01:22Z
drop,nft,formal,before,“But the impact they have had on our people is very real.” The eye-watering deficit is the result of $29bn Covid-19 stimulus spending – the largest of any state – and a forecast $25bn drop in revenue over the next five years.,2020-11-17T04:40:09Z
drop,nft,formal,before,"They saw a small drop in the weekly average noise at frequencies of about 100Hz in the open ocean, and a larger decrease in the strait.",2020-06-20T14:00:48Z
drop,nft,formal,before,"“Aerosols drop out of the air in a matter of days, so we should be able to see the effects if we look closely.",2020-06-20T14:00:48Z
drop,nft,formal,before,A growing number of Conservative backbenchers also want to make it harder for Chinese companies to buy strategic British firms – after they successfully forced the government to drop Huawei from 5G mobile networks after 2027.,2020-11-11T00:01:23Z
drop,nft,formal,before,"Global carbon emissions from the fossil fuel industry could fall by a record 2.5bn tonnes this year, a reduction of 5%, as the coronavirus pandemic triggers the biggest drop in demand for fossil fuels on record.",2020-04-12T12:34:58Z
drop,nft,formal,before,"This would lead to the fossil fuel industry’s biggest drop in CO2 emissions on record, in a single year eclipsing the carbon slumps triggered by the largest recessions of the last 50 years combined.",2020-04-12T12:34:58Z
drop,nft,formal,before,"“The reason we want to see emissions decline is because we want a more livable planet and happier, healthier people.” The fossil fuel analysis undertaken by Rystad Energy, a Norwegian energy consultancy, found a sharp contraction in GDP and the abrupt halt of flights and driving could cause the world’s oil demand to fall by more than five times the drop in demand triggered by the global financial crisis in 2008.",2020-04-12T12:34:58Z
drop,nft,formal,before,"But Covid-19 could cause oil demand to fall by more than five times as much.” The unprecedented drop in oil demand will emerge in large part due the global aviation industry, he said.",2020-04-12T12:34:58Z
drop,nft,formal,before,"Speaking to CNN on Sunday morning, Biden said he had not had any conversations with other candidates about whether they should drop out and back him but added: “I think everyone knows it’s going to be much more difficult to win back the Senate and keep control of the House if Bernie’s at the top of the ticket.” The Minnesota senator Amy Klobuchar is still in the race and is unlikely to quit before her state votes on Tuesday.",2020-03-02T02:20:42Z
drop,nft,formal,before,On his commitment to the Arsenal cause he has this to say: I will give every drop of blood for this football club to make it better.,2019-12-20T17:57:34Z
drop,nft,formal,before,The chief executive said a drop in passenger demand would make it easier to keep the middle seats empty when restrictions were eased.,2020-04-16T15:15:10Z
drop,nft,formal,before,Now evidence of a drop in underwater noise pollution has led experts to predict the crisis may also be good news for whales and other sea mammals.,2020-04-27T07:00:36Z
drop,nft,formal,before,Researchers examining real-time underwater sound signals from seabed observatories run by Ocean Networks Canada near the port of Vancouver found a significant drop in low-frequency sound associated with ships.,2020-04-27T07:00:36Z
drop,nft,formal,before,He found a significant drop in noise from both.,2020-04-27T07:00:36Z
drop,nft,formal,before,"“There has been a consistent drop in noise since 1 January, which has amounted to a change of four or five decibels in the period up to 1 April,” he said.",2020-04-27T07:00:36Z
drop,nft,formal,before,"Economic data from the port showed a drop of around 20% in exports and imports over the same period, he said.",2020-04-27T07:00:36Z
drop,nft,formal,before,"The deep ocean site, around 60km from the shipping lanes and in 3,000 metres of water, also showed a drop in average weekly noise of 1.5 decibels, or around a 15% decrease in power, Barclay said.",2020-04-27T07:00:36Z
drop,nft,formal,before,The drop in electricity use contributed to wholesale electricity prices being 45% to 48% lower than at the same time last year in all eastern states and territories except Tasmania.,2020-10-21T22:50:25Z
drop,nft,formal,before,The drop in gas consumption coincided with the Morrison government arguing that Australia needs more gas to drive the economic recovery from the coronavirus pandemic.,2020-10-21T22:50:25Z
drop,nft,formal,before,"About 70% of the fall was due to the increase in rooftop solar and 30% due to a drop in underlying demand linked to Covid, mostly in Victoria.",2020-10-21T22:50:25Z
drop,nft,formal,before,"Leaders in Australia and New Zealand have floated the idea of a trans-Tasman bubble for some weeks now, as cases of coronavirus in both countries continue to drop, nearly in tandem.",2020-05-05T08:15:31Z
drop,nft,formal,before,"The two cities have seen structural reforms to their police departments and a steep drop in crime, both within the communities and inflicted by the police.",2020-06-25T08:00:39Z
drop,nft,formal,before,Oil prices dropped on Friday as traders feared that an Opec deal to slash global supplies by 10% would not offset a historic drop in demand due to the coronavirus outbreak.,2020-04-11T01:33:57Z
drop,nft,formal,before,"Even if Opec+ succeeded in reducing output by 15m bpd, it may not be enough to prop up prices while demand continues to drop during the lockdown.",2020-04-11T01:33:57Z
drop,nft,formal,before,"In a statement, the Queensland police, who previously refused to comment on their actions in the case, confirmed they would drop the charges against the journalists and another man.",2019-07-25T07:44:15Z
drop,nft,formal,before,"Barack Obama has reportedly said the “rule of law is at risk” in the US, after the justice department said it would drop its case against former national security adviser Michael Flynn.",2020-05-09T12:58:29Z
drop,nft,formal,before,"Trump publicly toyed with pardoning Flynn and his supporters mounted a fierce campaign in support of the general, who had not been sentenced, before the decision to drop the case was announced on Thursday.",2020-05-09T12:58:29Z
drop,nft,formal,before,"However the attorney general, William Barr, perhaps spoke for the president earlier when he was asked how he thought history would view his decision to drop the Flynn case.",2020-05-09T12:58:29Z
drop,nft,formal,before,The severe drop in ticket sales from its closure and uncertainty about its reopening date have proved devastating.,2020-05-06T14:40:57Z
drop,nft,formal,before,"The removal of a BP representative from the judging panel was described as “a minor victory” by the artist Gary Hume, who wrote a letter before last year’s event appealing to the National Portrait Gallery (NPG) to drop BP as a sponsor for the prize.",2020-05-05T09:41:56Z
drop,nft,formal,before,"But the figure will drop to 168, or 0.2% of the market, when the federal government reduces the supplement by $300 a fortnight on 25 September.",2020-08-31T17:30:13Z
drop,nft,formal,before,I’m also terrified they’ll drop the catch.,2020-03-22T06:00:01Z
drop,nft,formal,before,"AAP has an update on the latest trade figures: Australia’s trade surplus shrank to $5.223 billion in December, a drop of $295 million on the surplus in November 2019.",2020-02-06T06:25:50Z
drop,nft,formal,before,"“Some of them are telling me there’s about a 50% drop-off in bookings, and the irony is there’s a bit of a reflexive panic, fear type thing among other international markets.” Battista says it will be the small mum-and-dad businesses that will suffer the most.",2020-02-11T00:08:20Z
drop,nft,formal,before,"Apple’s latest MacBook Air has a new, fixed and more satisfying keyboard, improved processors and gets a price drop.",2020-04-07T06:00:19Z
drop,nft,formal,before,"I hope this was a wake-up call, and [the attacker] gets his life on the right track.” The actor and former governor of California was filming participants on his mobile phone at the Arnold Classic Africa sports festival in Johannesburg when a bystander launched a drop-kick at his back.",2019-05-20T10:26:00Z
drop,nft,formal,before,"If you have any tips or feedback, please do message me on Twitter @cleaskopeliti or drop me an email.",2020-06-07T23:46:19Z
drop,nft,formal,before,The peak union for university academics and staff has been forced to drop legal action against the University of Wollongong over its approval of the controversial Ramsay Centre-funded western civilisation course.,2019-07-05T05:47:46Z
drop,nft,formal,before,Nigel Farage has launched his general election campaign by saying his Brexit party will contest every seat in the country unless Boris Johnson agrees to drop his deal with the EU and sign up to a “leave alliance”.,2019-11-01T16:39:16Z
drop,nft,formal,before,Farage said Johnson had to “drop the deal”.,2019-11-01T16:39:16Z
drop,nft,formal,before,"So I’m going to say this to Boris Johnson, drop the deal.",2019-11-01T16:39:16Z
drop,nft,formal,before,"Drop the deal, because it’s not Brexit, drop the deal, because as these weeks go by, and people discover what it is that you’ve signed up to, they will not like it.",2019-11-01T16:39:16Z
drop,nft,formal,before,"Johnson should drop this deal, he says.",2019-11-01T16:39:16Z
drop,nft,formal,before,"Once a popular subject choice for sixth formers, schools are now seeing a sharp drop in the take-up of English literature and language at A-level.",2019-08-14T13:52:32Z
drop,nft,formal,before,"Da da-da-da da da-da … Vivaldi’s Four Seasons is no longer the soundtrack to millions of people’s frustrated interactions with welfare bureaucracy, after the Department of Work and Pensions decided to drop it as the hold music on its telephone helplines.",2020-02-02T13:17:50Z
drop,nft,formal,before,The Serious Fraud Office is facing questions over its decision to drop an investigation into a trio of executives accused of paying multimillion-pound bribes in the energy industry.,2019-06-30T12:19:39Z
drop,nft,formal,before,The admission by TechnipFMC raises further questions about the SFO’s decision to drop an investigation into the family behind the Monaco-based firm Unaoil.,2019-06-30T12:19:39Z
drop,nft,formal,before,"Last month, a similar high-level US delegation came to Britain and tried to get the UK to drop Huawei completely.",2020-02-17T19:15:51Z
drop,nft,formal,before,McLaren have put staff on furlough but Brown believes the drop in revenue could leave F1 at crisis point.,2020-04-06T16:01:03Z
drop,nft,formal,before,The teams have already agreed in principle to drop the spending limit to $150m.,2020-04-06T16:01:03Z
drop,nft,formal,before,"Informa, a FTSE 100 company, which has suffered a £1bn drop in its market value since the start of the year as a result of share price falls, said that its events arm accounts for about 65% of £2.9bn in total group revenues.",2020-03-10T14:58:37Z
drop,nft,formal,before,Domestic airlines have sold thousands of seats in the past 24 hours and will triple flights on some routes as borders reopen and new Covid cases continue to drop.,2020-09-23T04:22:50Z
drop,nft,formal,before,"That is expected to drop below 30 by Sunday, when, according to the roadmap, restrictions in Melbourne were expected to ease slightly provided the rolling 14-day average remains below 50.",2020-09-23T04:22:50Z
drop,nft,formal,before,But there was a marked drop from 77.1% to 69.4% in those contacts being reached by the tracing teams and asked to stay home.,2020-09-03T16:13:26Z
drop,nft,formal,before,It was not a good day to drop what seemed like a straightforward catch behind the stumps since there were so few chances of taking a wicket.,2020-08-24T18:37:32Z
drop,nft,formal,before,After the chaos of Sunday night this was the fourth drop off Anderson’s bowling in 37 deliveries.,2020-08-24T18:37:32Z
drop,nft,formal,before,"“There is still a long way to go and the chances of another major collapse in forecourt prices will depend on how long the oil price plunge continues and how quickly UK retailers take to pass on savings.” The RAC’s fuel spokesman, Simon Williams, said: “This is looking like the biggest single daily drop in the oil price in 20 years.",2020-03-09T13:53:04Z
drop,nft,formal,before,"Tullie House in Carlisle was just preparing for a drop in funding from its hard-pressed local authority, and was enjoying excellent visitor numbers with its Treasures of China exhibition (now extended).",2020-07-08T05:00:02Z
drop,nft,formal,before,"Paving the way for weaker future economic growth, the CBI warned that business spending in the UK economy was set to decline by about 1.3% in 2019 compared with a year ago – the steepest drop since the last recession in 2009.",2019-07-07T23:01:06Z
drop,nft,formal,before,"Experts say the recession associated with Covid-19 might mean the biggest drop in demand for fossil fuels on record, with lockdown conditions drastically slashing air and passenger transport.",2020-04-28T00:55:03Z
drop,nft,formal,before,Drop Dead Gorgeous is one of my favourite films.,2019-07-23T06:00:39Z
drop,nft,formal,before,"Jesus loves winners, as Gladys Leeman tells her daughter Becky, but I do understand why Drop Dead Gorgeous was not triumphant when it was released 20 years ago.",2019-07-23T06:00:39Z
drop,nft,formal,before,"Drop Dead Gorgeous bombed at the box office, like a beauty queen riding a flammable giant Mexican swan, and the reviews from 1999 were damning.",2019-07-23T06:00:39Z
drop,nft,formal,before,"“Putting the words ‘drop dead’ in the title really is tempting fate,” wrote Janet Maslin in the New York Times.",2019-07-23T06:00:39Z
drop,nft,formal,before,"Twenty years later, we live in a time that regularly confuses satire with endorsement, and Drop Dead Gorgeous may have been an early casualty of that.",2019-07-23T06:00:39Z
drop,nft,formal,before,"There are two scenes in Drop Dead Gorgeous that have me crying with laughter, and both involve dancing: Becky’s ballroom waltz with a crucified dummy of Jesus Christ himself, and the victory lap of poor reigning champion Mary Johanson, who needs the help of a nurse to wheel her around the stage.",2019-07-23T06:00:39Z
drop,nft,formal,before,These are the essence of Drop Dead Gorgeous.,2019-07-23T06:00:39Z
drop,nft,formal,before,The original spending cap of $175m (£140m) has already been agreed to be reduced to $150m but the proposal being considered is to drop it further to $130m.,2020-04-16T20:52:37Z
drop,nft,formal,before,There had already been an informal agreement to drop the cap to $150m but it is understood both Red Bull and Ferrari were resistant to it falling any further.,2020-04-16T20:52:37Z
drop,nft,formal,before,"WH Smith has become the latest company to issue a profit warning because of the coronavirus pandemic, which has led to a major drop in shoppers at its airport outlets.",2020-03-12T13:25:55Z
drop,nft,formal,before,"Trump’s 30-day European travel ban makes things worse and threatens to make today’s estimates only partially reflective of the level of damage that could be done this year.” In the six months to 29 February, WH Smith posted a 1% drop in like-for-like revenues.",2020-03-12T13:25:55Z
drop,nft,formal,before,"We will miss you Kamala!” said Trump, who has made a point to comment on every Democratic drop out, even long-shot candidates.",2019-12-03T20:56:33Z
drop,nft,formal,before,The sheer drop in sterling since 2016 is only a taste of what’s to come if we continue down the destructive route of a no-deal Brexit.,2019-08-08T15:20:37Z
drop,nft,formal,before,"Your song Pressure Drop is one of my favourites, it seems to take on different meanings when I’m at different stages of my life … Ha!",2020-09-12T14:59:19Z
drop,nft,formal,before,"I wrote this song two ways … Pressure gonna drop on you, if it drops on you, it’s bad.",2020-09-12T14:59:19Z
drop,nft,formal,before,Pressure gonna drop off is a good thing.,2020-09-12T14:59:19Z
drop,nft,formal,before,"Pressure is gonna drop on people, and they work to get the pressure off.",2020-09-12T14:59:19Z
drop,nft,formal,before,"Nine has identified the Ashes, 2020 men and women’s cricket T20 World Cups and international TV programs as possible targets in a drive to cut $100m out of its struggling free-to-air television business, as the media company reports a 9% drop in profits.",2020-02-26T03:12:18Z
drop,nft,formal,before,Weak advertising and property markets were blamed for the drop in revenues at Nine’s free-to-air division and Domain.,2020-02-26T03:12:18Z
drop,nft,formal,before,"Seven West Media posted an even bigger loss than Nine last week, reporting a $67m loss on a total revenue of $773.3m for the first half of the 2020 financial year and a drop in underlying net profit after tax of 22.5%.",2020-02-26T03:12:18Z
drop,nft,formal,before,"In a statement released late on Thursday, Melco said that “due to the impact of the coronavirus epidemic, including the severe drop in tourism in Asia to Integrated Resort (IR) facilities in the region, and the recent decision by the Macau SAR government to close all casinos in Macau, Melco has taken the decision to reassess all non-core investments to be made in 2020”.",2020-02-06T21:13:16Z
drop,nft,formal,before,"It has reported about 90 almost every day for the past 11 days, so the drop to 60 would be seen as welcome news.",2020-04-26T23:17:49Z
drop,nft,formal,before,"Note: it has reported a couple of anomalies, as shown by the huge drop and spike between 4 and 5 April.",2020-04-26T23:17:49Z
drop,nft,formal,before,"The pandemic has killed 22,614 people in France since the start of March, with 369 new deaths recorded in the previous 24 hours, according to official figures released late Saturday, which saw a significant drop in hospital deaths.",2020-04-26T23:17:49Z
drop,nft,formal,before,"Despite forecasts of increased demand from drinkers stuck at home across the world, producers have become frustrated by the enforced quarantining of their workforce, with India’s output expected to drop by 9% in 2020.",2020-05-08T02:26:27Z
drop,nft,formal,before,Be patient and DO NOT drop your guard.” Forecasters warned that Barry’s glacial pace would give it time to gather moisture from the Gulf of Mexico.,2019-07-13T21:37:56Z
drop,nft,formal,before,"Sanders is facing intensifying calls to drop out of the race A number of Democratic strategists have declared the nominating contest to be effectively over, and have suggested the Vermont senator should withdraw and allow Biden to focus on the November general election and the more immediate threat of the coronavirus public health emergency.",2020-03-18T04:42:37Z
drop,nft,formal,before,The National Tertiary Education Union said the university must now also drop the remainder of its lawsuit against the whistleblower and stop attempts to remove him from the university senate.,2020-01-14T01:56:50Z
drop,nft,formal,before,"Cory Booker has become the latest candidate of colour to drop out of the Democratic presidential race, citing a lack of funds.",2020-01-13T16:16:47Z
drop,nft,formal,before,"Manual workers, and those who operate under great physical and mental stress, cannot work until they drop.",2019-08-23T07:00:10Z
drop,nft,formal,before,"Premier League players will be asked to take a 30% drop in their wages, via cuts or deferrals or both, in response to the coronavirus pandemic, the clubs agreed at a meeting on Friday.",2020-04-04T00:33:20Z
drop,nft,formal,before,"In Spain, 932 people have died in the past 24 hours, a slight drop from the 950 deaths recorded one day earlier and marking the first drop in the daily death toll this week.",2020-04-04T00:33:20Z
drop,nft,formal,before,"Amid the bleak news was a glimmer of hope: this week has seen a drop in the rate of new infections across Spain, suggesting the outbreak is slowing.",2020-04-04T00:33:20Z
drop,nft,formal,before,"There will be a further increase in national output in July and August, and, in all likelihood, the biggest quarterly drop in activity on record will be followed by the biggest quarterly rise on record.",2020-08-12T09:24:39Z
drop,nft,formal,before,"In May, the outlook was for the cash rate to get to the current level of 1.0% only by the end of the year; now the expectation is for the cash rate to reach 0.75% by then and around a 50% chance of a further cut to 0.5% by this time next year: But as Shane Wright in the Sydney Morning Herald has noted, those rate cuts are not going to help wages growth, especially while the number of unemployed and underemployed per job vacancy is rising: The big statistical drop in underemployment in June could be a sign of a corner being turned and that things are about to improve, but this is a small hope as a more realistic view of the figures is that it was just a statistical flub in one state.",2019-07-22T18:00:36Z
drop,nft,formal,before,"‘Bronx county, the poorest of New York’s boroughs, saw a sharp drop in broadband speeds’ The internet is key to accessing information about the coronavirus.",2020-04-13T12:08:00Z
drop,nft,formal,before,The drop in connectivity is affecting both rural and urban areas with populations already underserved by the medical system or racked with poverty.,2020-04-13T12:08:00Z
drop,nft,formal,before,"Bronx county in New York, the poorest of New York City’s five boroughs, has witnessed a sharp drop in broadband speeds.",2020-04-13T12:08:00Z
drop,nft,formal,before,"Households benefitted from a drop in air fares in May, as prices returned to normal following Easter hikes.",2019-06-19T13:35:05Z
drop,nft,formal,before,"While the pace of price falls has halved from the tear-inducing drop seen in the 12 months to March, this latest 1.2% fall suggests the capital’s correction is still underway.",2019-06-19T13:35:05Z
drop,nft,formal,before,"This is the tenth month is a row that prices in London have fallen on an annual basis, suggesting that uncertainty in the capital’s housing market is still a problem.” Today’s drop in inflation means there’s no chance of the Bank of England raising interest rates on Thursday, say City economists.",2019-06-19T13:35:05Z
drop,nft,formal,before,Equity allocations have experienced their second worst drop on record – we’ve seen a huge move into cash.,2019-06-19T13:35:05Z
drop,nft,formal,before,The Bank of England governor Andrew Bailey has said that a drop of 20.4% in GDP in April was unsurprising and generally in line with what the Bank had expected.,2020-06-12T17:58:27Z
drop,nft,formal,before,Boris Johnson has insisted the UK economy can bounce back after the lockdown largest drop in GDP since records began.,2020-06-12T17:58:27Z
drop,nft,formal,before,The prime minister said he was “not surprised” at official statistics indicating the UK during April had experienced the largest single drop in economy activity since records began as a result of the coronavirus shutdown.,2020-06-12T17:58:27Z
drop,nft,formal,before,"But as the number of confirmed coronavirus cases continues to drop in the UK, the agency said there is an even greater need for people testing positive with Covid-19 to sign up for research.",2020-06-12T17:58:27Z
drop,nft,formal,before,"“We’ve introduced measures to ensure that every driver can access the PPE (personal protective equipment) they need for free to help keep them safe when driving with Uber, and, from Monday, we will require anyone using the Uber app in the UK to wear a face covering.” Crime recorded by Britain’s largest police force has started to rise after a sharp drop when lockdown measures were imposed.",2020-06-12T17:58:27Z
drop,nft,formal,before,Large parts of Australia face a cold snap this week with Queensland expecting the coldest days of the year as minimum temperatures drop to single digits in some parts of the state.,2020-06-23T17:30:53Z
drop,nft,formal,before,"But most parts of Queensland won’t experience their coldest morning until Thursday, with temperatures in Brisbane, the Gold Coast and parts of the Sunshine Coast expected to drop again to 6C.",2020-06-23T17:30:53Z
drop,nft,formal,before,"Hobart residents should brace for up to 30mm of rain on Tuesday, with wet conditions expected to continue through Wednesday and Thursday and temperatures forecast to drop to 5C by Friday.",2020-06-23T17:30:53Z
