word,event,register,period,sentence,timestamp
stream,streaming,formal,before,Do I have to buy the stream from you to take part?,2012-07-05T09:02:11Z
stream,streaming,formal,before,What's the difference between Stream and Download?,2012-07-05T09:02:11Z
stream,streaming,formal,before,The Stream option means you can watch the movie up to five times within 30 days of purchase.,2012-07-05T09:02:11Z
stream,streaming,formal,before,Can I watch your movie stream?,2012-07-05T09:02:11Z
stream,streaming,formal,before,if you are outside of these regions then we are unable to stream the movie to you.,2012-07-05T09:02:11Z
stream,streaming,formal,before,"We'd love as many people as possible to join us, the region restriction is only a limitation of the video stream not of the liveblog.",2012-07-05T09:02:11Z
stream,streaming,formal,before,This stream is not available to users outside the UK.,2012-09-24T19:00:00Z
stream,streaming,formal,before,"I don't think I would ever have applied to join the civil service if I thought I was going to be pigeonholed."" Houghton joined the four-year-long ""civil service technology in business"" fast stream in 2011.",2012-09-18T13:30:02Z
stream,streaming,formal,before,"Applications for the next fast-stream cohort, which is expected to offer around 700 places and comes with a starting salary of £25,000 to £27,000, opened on 17 September.",2012-09-18T13:30:02Z
stream,streaming,formal,before,"As a step towards creating this culture change, from next year all fast-stream graduates on the central departments and science and engineering programmes – who make up around half of the total annual graduate fast-stream intake – will be expected to spend some time on assignment outside of Whitehall on placement with a charity, private sector employer or a ""customer organisation"" such as a community group.",2012-09-18T13:30:02Z
stream,streaming,formal,before,"She says: ""The challenge for us will be to create as many placements as possible within the first two years of the programme."" From next year the two fast-stream programmes will also, for the first time, be delivered as four-year schemes with prescribed timetables.",2012-09-18T13:30:02Z
stream,streaming,formal,before,This live stream is now over.,2012-10-04T14:46:00Z
stream,streaming,formal,before,We'll only have this exclusive stream for 48 hours – so get to it.,2012-05-16T11:05:00Z
stream,streaming,formal,before,"Mobile users, please visit the desktop version of our site to hear this stream.",2012-05-21T13:40:00Z
stream,streaming,formal,before,"The Guardian's chief pop critic Alexis Petridis awarded it four stars, praising Longstreth for imbuing his music with warmth and feeling: ""What's striking is how easy it is to listen to, partly because the melodies are unfailingly great, partly because the emotions strike home, but mostly because the tricksiness feels like it's there in service to the song."" Have a listen to our exclusive stream using the widget above and let us know your thoughts in the comments below.",2012-07-02T15:09:17Z
stream,streaming,formal,before,"The UK Civil Service's European Fast Stream is aimed at people who, ultimately, want to work for one of the European Union institutions and become an EU civil servant.",2012-03-01T10:36:06Z
stream,streaming,formal,before,For more information on the European Fast Stream visit the Civil Service Fast Stream website.,2012-03-01T10:36:06Z
stream,streaming,formal,before,Tom Service and Fiona Maddocks will be online during Friday's live stream to discuss the opera and the staging with you and answer any questions you might have.,2012-08-17T16:45:00Z
stream,streaming,formal,before,Olympic broadcaster NBC has bowed to pressure and agreed to stream the Games' closing ceremony live.,2012-08-11T19:05:47Z
stream,streaming,formal,before,Glastonbury 2012 live stream!,2012-06-22T12:26:00Z
stream,streaming,formal,before,Bookmark this page and join us for the live stream at 7.30pm on Saturday and Tuesday.,2012-06-22T12:26:00Z
stream,streaming,formal,before,"Paul Weller says: ""I'm not an expert on the digital world but I know it's how most people hear their music and I'm proud of this album …"" And so he is making his new record, Sonik Kicks, available to stream now, a week before release.",2012-03-13T13:06:00Z
stream,streaming,formal,before,"Digital video, specifically in-stream, is marketed as a TV-like experience.",2012-07-11T11:26:00Z
stream,streaming,formal,before,"In-stream media doesn't offer the ability to synchronize brand and programming content, and it's a huge handicap.",2012-07-11T11:26:00Z
stream,streaming,formal,before,"Even with all the developments taking place online, in-stream will remain an underdog until we change how it's sold.",2012-07-11T11:26:00Z
stream,streaming,formal,before,"But until we can provide viewers with a brand experience that is emotionally integrated, online video will always come up short, and In-Stream will continue to be bought (or received free) as a second-string part of the TV buy.",2012-07-11T11:26:00Z
stream,streaming,formal,before,"You can read Maddy Costa's review here, and make up your own mind about the record by listening to this exclusive stream.",2012-07-06T09:22:00Z
stream,streaming,formal,before,This album stream is no longer available.,2012-03-09T12:51:00Z
stream,streaming,formal,before,"• If you're reading on mobile, click here to hear the album stream.",2012-05-01T17:30:00Z
stream,streaming,formal,before,"It's called the Spotify Play Button, and provides website owners with a way to stream songs, albums and playlists from Spotify without making users leave their sites.",2012-04-11T09:59:00Z
stream,streaming,formal,before,"• A column that discussed the effect of this summer's rainy weather on a holiday in the English countryside offered advice to ""anyone holidaying while the Gulf Stream is cocking about"" (A certain age, G2, 17 July, page 13).",2012-07-22T20:00:06Z
stream,streaming,formal,before,"It is actually the jet stream – a narrow band of fast-flowing winds – that has been ""cocking about"": its position further south than usual this year has brought rain-bearing low pressure systems across the Atlantic to Britain.",2012-07-22T20:00:06Z
stream,streaming,formal,before,"The Gulf stream is a current of warm oceanic water that follows the east coast of the US from the tip of Florida before turning into the North Atlantic Drift, giving Britain warmer winters than it would otherwise have.",2012-07-22T20:00:06Z
stream,streaming,formal,before,Do I have to buy the stream from you to take part?,2012-01-11T16:40:02Z
stream,streaming,formal,before,Can I watch your movie stream?,2012-01-11T16:40:02Z
stream,streaming,formal,before,"We'd love as many people as possible to join us, the region restriction is only a limitation of the video stream not of the liveblog.",2012-01-11T16:40:02Z
