word,event,register,period,sentence,timestamp
binge,streaming,formal,before,"Ted Heath Olton, West Midlands • Mention of binge drinking in Lucy Mangan's review (21 February) of Alastair Campbell's BBC Panorama programme about alcohol (ab)use in the UK prompted me to ask a French friend what the French is for that activity.",2012-02-24T21:00:05Z
binge,streaming,formal,before,"""Le binge drinking,"" she answered.",2012-02-24T21:00:05Z
binge,streaming,formal,before,"A paper presented at the American Sociological Association annual meeting in Denver on Monday says females, students of color, LGBTQ students and poorer students who binge drink reported feeling more satisfied with their collegiate experience than their peers who didn't.",2012-08-20T21:58:00Z
binge,streaming,formal,before,"Within the more socially satisfied white, wealthy and straight male students, again, the binge drinkers reported having a more positive social collegiate experience than those who didn't binge drink.",2012-08-20T21:58:00Z
binge,streaming,formal,before,"Instead of drinking because they were part of a low-status social group, students used binge drinking as a tool to feel included in campus life.",2012-08-20T21:58:00Z
binge,streaming,formal,before,By imitating the behaviors of the higher-status groups – who binge drink at higher rates than the lower-status groups – they seemed to have received more social acceptance.,2012-08-20T21:58:00Z
binge,streaming,formal,before,"Hsu said many of the students who took the survey, which was on more than just drinking issues, wrote-in about binge drinking.",2012-08-20T21:58:00Z
binge,streaming,formal,before,"""A number of students would write things like: 'I don't want to binge drink, but that's what everyone does' or 'Binge drinking is the only thing to do, everyone here is rich and white and in a sorority or fraternity and they all get smashed and I don't really feel like I belong in that, but that's what you do here,'"" Hsu said.",2012-08-20T21:58:00Z
binge,streaming,formal,before,"In the study, binge-drinking was defined as drinking four or more drinks in one session for women, and five or more drinks for men, at least once in a two-week period.",2012-08-20T21:58:00Z
binge,streaming,formal,before,"As the study notes, binge-drinking increases the risk of violence, risky sexual behavior, drunk driving, poor academic performance and future alcohol dependency.",2012-08-20T21:58:00Z
binge,streaming,formal,before,"A leading British academic has called for accelerated research into futuristic geo-engineering and a worldwide nuclear power station ""binge"" to avoid runaway global warming.",2012-09-09T19:30:11Z
binge,streaming,formal,before,"This began in January last year, when they decided to probe the endless headlines about ""binge Britain"" – only last month, David Cameron vowed to tackle Britain's ""scandal"" of alcohol abuse — in an effort to find out more about how much we really drink and how it makes us feel.",2012-03-12T21:00:02Z
binge,streaming,formal,before,"""At first,"" McDonnell says, ""we had no intention of making the show about women; we were thinking about 'binge Britain' in general – about what binge drinking really means.",2012-03-12T21:00:02Z
binge,streaming,formal,before,"But we couldn't just ignore the story, so we decided to tell it."" The number of women who regularly binge-drink (defined, officially, as consuming more than twice the government's recommended daily limit on at least one day a week) has risen over the past decade, though not at quite the rate the most headlines would have us believe.",2012-03-12T21:00:02Z
binge,streaming,formal,before,"Rebecca Clough, head of campaigns for the alcohol advice charity Drinkaware, thinks that binge-drinking among both men and women remains a problem – and applauds the Paper Birds for tackling the subject.",2012-03-12T21:00:02Z
binge,streaming,formal,before,"""I don't think we should refute the fact,"" she says, ""that there is an issue with binge-drinking among a sizeable segment of our young people, and that this continues to influence how they drink as they get older.",2012-03-12T21:00:02Z
binge,streaming,formal,before,"The current debate in the UK about how to curb excessive alcohol consumption has made ""binge drinking"" a very topical term, but many people using it as a verb or adjective will be surprised by new research which traces its origins to the trenches of the first world war.",2012-12-11T14:01:28Z
binge,streaming,formal,before,"""Binge"" is among hundreds of words and phrases which entered British English usage as a direct result of the social upheaval of war, according to research carried out by military historian Peter Doyle and etymologist Julian Walker.",2012-12-11T14:01:28Z
binge,streaming,formal,before,"Hollywood blockbusters are encouraging teenagers to binge drink, according to a new scientific study.",2012-03-08T11:17:51Z
binge,streaming,formal,before,"That shapes how kids see alcohol and their decisions whether to binge drink."" The study invited children to examine a list of more than 600 films released between 2004 and 2009, 86 of which featured at least one scene in which actors drank alcohol.",2012-03-08T11:17:51Z
binge,streaming,formal,before,"They were also asked how often each week they enjoyed more than five drinks in a short period of time, defined as ""binge drinking"".",2012-03-08T11:17:51Z
binge,streaming,formal,before,"Researchers found that those who had watched scenes featuring alcohol use were 14% per cent more likely to drink (rising from 11% to 25%), and 9% more likely to binge drink (rising from 4% to 13%).",2012-03-08T11:17:51Z
binge,streaming,formal,before,"Now it's more like 450,000."" So the whole country is suffering a monumental credit binge hangover.",2011-10-10T18:46:40Z
binge,streaming,formal,before,"Deep discounting of alcohol by supermarkets and convenience stores is fuelling Britain's binge-drinking culture, David Cameron conceded, as he came under intense political and health lobby pressure to adopt a minimum price for alcohol.",2012-02-15T21:24:00Z
binge,streaming,formal,before,"There is a vacuum where there should be full and proper strategy to tackle the rising tide of harm caused by binge-drinking seen in our high-streets and hospitals."" The chairman of the Police Federation of England and Wales, Paul McKeever, said: ""The Prime Minister's suggestion of 'putting more police on patrol in hospitals' to help deal with problems of drunken and anti-social behaviour would be a laudable solution if the police service wasn't struggling to meet the current workload.",2012-02-15T21:24:00Z
binge,streaming,formal,before,"In 2003, before the credit binge, it was 300%.",2012-01-19T00:03:01Z
binge,streaming,formal,before,"The reason for that, though, was simple: Britain went on a borrowing binge.",2012-11-11T15:12:01Z
binge,streaming,formal,before,"Sitting with a nice cup of tea, binge-reading the different sections.",2012-09-28T20:00:01Z
binge,streaming,formal,before,Tackling binge drinking means changing the UK's alcohol culture.,2011-09-06T19:59:02Z
binge,streaming,formal,before,"In 2011, almost 60 on-trade and off-trade companies and producers will come together to support the third year of alcohol education charity Drinkaware's £100m five-year campaign, to challenge the acceptability and desirability of drunkenness among young adults and reduce binge drinking.",2011-09-06T19:59:02Z
binge,streaming,formal,before,"If you follow binge drinking stories in the news, you may be surprised to learn that between 2005 and 2010 the number of men drinking more than the recommended 21 units a week fell from 31% to 26%, and the proportion of women drinking more than 14 units a week fell from 21% to 17%.",2012-03-23T11:51:36Z
binge,streaming,formal,before,"This newspaper managed to find that a pic of that rare phenomenon, women drinking beer, to report the coalition's plan to introduce minimum alcohol pricing to curb binge drinking, and uses beer prices to illustrate the financial impact this will have on binge drinkers.",2012-03-23T11:51:36Z
binge,streaming,formal,before,"If you take the trouble to ask binge drinkers, like I did, they'll tell you they don't drink beer because it doesn't get them wasted quick enough.",2012-03-23T11:51:36Z
binge,streaming,formal,before,"Morrissey sued Daily Mail publisher Associated Newspapers for libel over the article – headlined ""Homme behaving badly: TV star banned from bar near his idyllic French retreat after locals object to 'le binge drinking'"" – published in March 2010.",2012-01-12T11:38:00Z
