word,event,period,sentence,timestamp
brat,brat-album,after,Apple (2024) The poppiest track on Brat – nearly binned midway through recording sessions – Apple’s earworm bubblegum melody carries a lyric about strained parental relationships and intergenerational trauma.,2025-11-20T15:55:27Z
brat,brat-album,after,"New Shapes (ft Caroline Polachek and Christine and the Queens) (2021) It’s easy to view Brat’s predecessor, Crash, as Charli xcx trying to fit in with standard ideas about mainstream pop, rather than forging her own distinctive path.",2025-11-20T15:55:27Z
brat,brat-album,after,"360 (2024) “I went my own way and I made it / I’m your favourite reference, baby … I don’t fucking care what you think”: 360 is both the sound of the Brat era swaggering (or perhaps staggering) into view and a superb pop song, whether you opt for the original or the Robyn and Yung Lean-assisted remix.",2025-11-20T15:55:27Z
brat,brat-album,after,"House (2025) However you might have expected Charli xcx to follow up Brat, it’s unlikely that you expected this, from the forthcoming soundtrack to Wuthering Heights: a warped electronic homage to the Velvet Underground, filled with drones, shards of noise and a guest appearance from John Cale, which bursts into furious distortion-laden industrial noise at its climax.",2025-11-20T15:55:27Z
brat,brat-album,after,"In April 2025, the pop singer Charli xcx posted a TikTok reflecting on nearly a year of her seminal album Brat: “It’s really hard to let go of Brat and let go of this thing that is so inherently me and become my entire life, you know?” she said.",2026-01-24T19:12:00Z
brat,brat-album,after,"I find that quite fascinating.” The frank, informal admission fit with Brat, a pop culture-shifting album that channeled, with stunning immediacy, the imperious ego and bristling insecurity of an artist keenly aware of her own precarious level of fame.",2026-01-24T19:12:00Z
brat,brat-album,after,"Her ambivalence was understandable – Brat rapidly turned Charli, who spent over a decade as a fixture of pop’s so-called middle class, into a main pop girl, an artist played at midwest sorority weddings and used by a US presidential campaign.",2026-01-24T19:12:00Z
brat,brat-album,after,"Brat summer was heady, hedonistic, fun – a meme, an aesthetic, a vibe, a moment.",2026-01-24T19:12:00Z
brat,brat-album,after,"I felt a similar vacantness while watching The Moment, the visually hypnotic yet curiously shallow meta-mockumentary of the Brat era, which spends 113 hyper-stylish minutes circling her ambivalence over winning the zeitgeist without moving beyond that initial assessment.",2026-01-24T19:12:00Z
brat,brat-album,after,"Conceived by Charli and written by close collaborator Aidan Zamiri and Bertie Brandes, The Moment, which premiered at Sundance, assumes a high level of fan literacy – Zamiri, the zeitgeist savant behind Timothée Chalamet’s genius Marty Supreme marketing campaign among other viral moments, ties the proceedings to the real Brat social media timeline with freak fluency – that has little patience for, and I suspect little reward for, those not in the know.",2026-01-24T19:12:00Z
brat,brat-album,after,"Perhaps that’s because it attempts to satirize the music industry from the top, by proposing a somewhat listless counter-factual: what if, riding high on Brat summer, Charli succumbed to the pressure and compromised her artistic vision?",2026-01-24T19:12:00Z
brat,brat-album,after,"In this funhouse mirror version, the singer plays a more pitched, volatile and transparently insecure version of herself in preparation for the Brat tour.",2026-01-24T19:12:00Z
brat,brat-album,after,"But the pressures of staying relevant – of keeping “brat summer forever” – are such that she must entertain his glittery, anti-club rat vision (that looks suspiciously like the Eras tour … ).",2026-01-24T19:12:00Z
brat,brat-album,after,"A Prada-esque, crystal-embellished, charcoal V-neck cardigan (£46), a faux leather trenchcoat with a price tag of £90 – £6,810 less than the Burberry version – and a £36 short pleated skirt that offers a wearable take on Charli xcx’s “brat” styling will hit shop floors shortly.",2025-09-17T05:00:29Z
brat,brat-album,after,"So, whether you’re shopping for a loved one who’s clinging on to Brat summer or in need of a present for a Swiftie, we’ve rounded up thoughtful gifts inspired by their favourite artists.",2025-12-03T06:00:54Z
brat,brat-album,after,"This handmade ring dish alludes to one of Brat’s most memorable lyrics – it might just be our favourite reference, baby.",2025-12-03T06:00:54Z
brat,brat-album,after,"It’s also waterproof, meaning it will survive even the longest nights out – that’s so Brat.",2025-12-03T06:00:54Z
brat,brat-album,after,"Instead of a sleeve featuring the singer in a bikini, as Crash did, Brat came wrapped in a blunt, lowercase rendering of the album’s title against a sickly lime green: intended as a snub to the “misogynistic and boring” assumption that a female artist should automatically appear on her own album cover, it turned out to be a masterstroke of branding far more pervasive than any glossy photo, even influencing the US presidential race.",2024-12-20T14:00:51Z
brat,brat-album,after,"It oozed self-possession and confidence, Brat seemed to swagger even as Charli confessed to insecurity or inadequacy, a cocktail of emotions that seemed to be at the album’s centre: if everyone feels like this, you might as well own it.",2024-12-20T14:00:51Z
brat,brat-album,after,"Messy, obdurate and in your face, Brat’s tone struck a genuine cultural nerve.",2024-12-20T14:00:51Z
brat,brat-album,after,"Brat was the right album at the right time, something that other pop stars – ordinarily more commercially successful than Charli xcx – recognised: Ariana Grande, Billie Eilish and Lorde all appeared on the remix album Brat and It’s Completely Different But Also Still Brat, the latter on a version of Girl, So Confusing, a song about Charli xcx’s fraught relationship with … Lorde.",2024-12-20T14:00:51Z
brat,brat-album,after,"Taylor Swift, meanwhile, was apparently so rattled by Brat’s arrival that she suddenly released six different deluxe editions of her album The Tortured Poets Department in order to keep it from reaching No 1 in the UK.",2024-12-20T14:00:51Z
brat,brat-album,after,"Whether Brat singlehandedly drags pop music into a more interesting, experimental space remains to be seen.",2024-12-20T14:00:51Z
brat,brat-album,after,What became of brat summer?,2025-06-29T16:00:56Z
brat,brat-album,after,"An awesome amount of time was spent explaining to each other what a “brat” was – she had ladders in her tights and didn’t wash her hair, except on a Wednesday; if she got drunk in the morning, it was because that’s what she’d decided; she was never waiting for anyone’s call.",2025-06-29T16:00:56Z
brat,brat-album,after,"Charli ceremonially burned the green brat curtain at the end of her set, and the homemade brat merch in the crowd has thinned out.",2025-06-29T16:00:56Z
brat,brat-album,after,"If, in 2024, you rawdogged a flight, wore brat green, indulged in some looksmaxxing or called someone babygirl … you are right on trend, as all of these words and terms broke through this year.",2025-01-04T07:00:43Z
brat,brat-album,after,"But if one trend marked 2024 – let me give you a hint, you are going to need some slime-green attire and a pack of Marlboros for this next bit – yes, it was “brat summer”.",2025-01-04T07:00:43Z
brat,brat-album,after,"“You’re just like that girl who is a little messy and likes to party and maybe says some dumb things sometimes,” the singer declared as we all grappled to understand how to be brat.",2025-01-04T07:00:43Z
brat,brat-album,after,But brat was not the only vibe of the year.,2025-01-04T07:00:43Z
brat,brat-album,after,"Charli xcx has won five Brit awards, including album of the year for her summer-defining, green-hued, magnificently debauched album Brat.",2025-03-01T23:00:02Z
brat,brat-album,after,"The wins cap a zeitgeist-surfing year for the singer, whose knowingly trashy sound and look was so distinctive it gave rise to a whole cultural phenomenon: “Brat summer”, plus various things being declared “brat”.",2025-03-01T23:00:02Z
brat,brat-album,after,"It was nebulously defined – Charli asserted that the seemingly un-brat Kamala Harris was, in fact, brat – but centred around untrammelled raving, unclean living and unbothered cool.",2025-03-01T23:00:02Z
brat,brat-album,after,"Brat topped the UK chart and has spent 38 weeks in the Top 20, and was critically acclaimed for its range: between the club bangers lay a series of thoughtful, romantic and emotionally raw tracks that laid bare Charli’s anxieties about fame and potential motherhood.",2025-03-01T23:00:02Z
brat,brat-album,after,"So it feels really nice to be recognised on this album, when I haven’t made any sacrifices.” She told her fellow artists: “You don’t need to compromise your vision.” The chief architect of Brat’s dance-pop sound, AG Cook, won the Brit award for producer of the year.",2025-03-01T23:00:02Z
brat,brat-album,after,"Brit awards 2025: full list of winners Album of the year: Charli xcx – Brat Artist of the year: Charli xcx British group: Ezra Collective Best new artist: The Last Dinner Party Song of the year: Charli xcx – Guess (ft Billie Eilish) International artist: Chappell Roan International group: Fontaines DC International song: Chappell Roan – Good Luck, Babe!",2025-03-01T23:00:02Z
brat,brat-album,after,"Until June, when the shade that would come to be known as brat green exploded out from Charli xcx’s new album cover – she had apparently narrowed it down from a choice of 65 shades to “like the most WRONG out of all the options we had”.",2024-12-26T17:00:45Z
