word,event,period,sentence,timestamp
canon,fanfic,after,"The Gustav Vasa 1541 bible, Pippi Longstocking, Ikea, the right to roam, paternity leave, Sámi joiks, the Nobel prize and works by Ingmar Bergman and August Strindberg all made it into Sweden’s long-awaited, much-criticised proposal for a “cultural canon”.",2025-09-02T16:45:54Z
canon,fanfic,after,Critics have accused the canon of being a “nationalist education project”.,2025-09-02T16:45:54Z
canon,fanfic,after,"The decision to create a Swedish cultural canon was part of the coalition agreement for the Moderates-led government, which depends on the support of the far-right Sweden Democrats.",2025-09-02T16:45:54Z
canon,fanfic,after,"Additionally, the committee invited the public to create an online “people’s canon” which received about 10,000 submissions, including rapper Silvana Imam, whose music includes songs protesting against racism and the far-right Sweden Democrats, and the kebab pizza, one of Sweden’s favourite dishes.",2025-09-02T16:45:54Z
canon,fanfic,after,Neither features in the official canon.,2025-09-02T16:45:54Z
canon,fanfic,after,"Trägårdh said at a press conference at Uppsala University on Tuesday that Sweden’s canon should be a “moving object” to be regularly updated and “something that creates rich possibilities for all to be successful people in modern Swedish society.” Marlen Eskander, the founder of the Reading Promotion Institute, who left the committee last year, described the canon as “very exclusionary”.",2025-09-02T16:45:54Z
canon,fanfic,after,"Anita Kitok, head of language and culture for Sametinget, Sweden’s Sámi parliament, said: “Sametinget has not been involved in the cultural canon so I do not have any comments about the result or the process.” The canon announcement comes at a time of heightened identity politics in Sweden that have seen the far-right flourish amid an uptick in anti-immigrant sentiment, in part through nostalgic messaging and by connecting immigration and criminality, which has since become a mainstream narrative.",2025-09-02T16:45:54Z
canon,fanfic,after,"The Swedish culture minister, Parisa Liljestrand, rejected criticism of the project, saying: “The canon project has been attributed with intentions that never existed anywhere else except possibly in the critics’ imagination.” She denied that the canon marked a victory for the Sweden Democrats’ culture politics.",2025-09-02T16:45:54Z
canon,fanfic,after,"It was therefore fitting that, after two years of preparation, the Swedish cultural canon committee presented – in an anatomical theatre from the 17th century – its list of 100 works, ideas and brands that define Swedishness.",2025-09-04T04:00:41Z
canon,fanfic,after,"It also tells us why this canon is doomed to fail and yet for its creators, unfortunately, it has already succeeded.",2025-09-04T04:00:41Z
canon,fanfic,after,"Originally a pet project of the far-right Sweden Democrats, the canon was commissioned by the sitting rightwing coalition, a minority government dependent on the Sweden Democrats’ parliamentary support.",2025-09-04T04:00:41Z
canon,fanfic,after,"Since the canon committee’s creation in 2023, the tone in Swedish media has been critical.",2025-09-04T04:00:41Z
canon,fanfic,after,"Even the Swedish Academy, the body that awards the Nobel prizes in literature, declined to participate in the project, seeing a canon as “a concept imbued with power and the exercise of power”.",2025-09-04T04:00:41Z
canon,fanfic,after,"Chairman of the canon committee Lars Trägårdh, meanwhile, called it “a departure hall, not a final destination”.",2025-09-04T04:00:41Z
canon,fanfic,after,"The very institutions that sustain and disseminate the works and ideas in the canon – the universities, museums and theatres – are in crisis.",2025-09-04T04:00:41Z
canon,fanfic,after,Denmark introduced a similar official cultural canon in 2006.,2025-09-04T04:00:41Z
canon,fanfic,after,"But perhaps the true object of the canon, beyond providing a useful smokescreen, is the debate itself.",2025-09-04T04:00:41Z
canon,fanfic,after,"The introduction of the idea of a national cultural canon implicitly suggests Swedishness, unity – what Benedict Anderson would have called the “imagined community” of the nation state.",2025-09-04T04:00:41Z
canon,fanfic,after,"Whether the reply is that a canon should emerge organically or merely that meatballs deserve inclusion, the premise is accepted: that there exists a national culture which can be defined.",2025-09-04T04:00:41Z
canon,fanfic,after,"In this sense, the Swedish cultural canon is no sideshow.",2025-09-04T04:00:41Z
canon,fanfic,after,"If history is any guide, Sweden’s new canon will soon be lost to time, vanishing as quickly as any other listicle.",2025-09-04T04:00:41Z
canon,fanfic,after,The canon’s real success lies elsewhere: in framing what it means to become and to be Swedish.,2025-09-04T04:00:41Z
canon,fanfic,after,"The canon freezes that process into a list, and in doing so triumphs as ideology even as it fails as culture.",2025-09-04T04:00:41Z
canon,fanfic,after,"If the Swedish culture canon teaches us anything, it is simply to remain vigilant.",2025-09-04T04:00:41Z
canon,fanfic,after,Infinity Gradient is the latest in a growing canon of initially serene organ music that later reveals depth and grit.,2025-11-07T11:21:12Z
canon,fanfic,after,"Rev Canon Lesley McCormack Chelveston, Northamptonshire • Have an opinion on anything you’ve read in the Guardian today?",2025-09-23T16:36:07Z
canon,fanfic,after,"• Homophone corner: “The 1953 presidential inauguration of Dwight Eisenhower … included a parade by 22,000 troops and even a nuclear-capable canon” (Trump’s military parade taps into old tradition of power, 14 June, p34).",2025-06-20T20:00:49Z
canon,fanfic,after,"Independent theatre company Shake and Stir’s stage version, which premiered in Brisbane last year, is a fine addition to the canon.",2024-08-26T01:39:32Z
canon,fanfic,after,"Rev Canon Dr Rob Kelsey Norham, Northumberland • We were eating roast chicken one Sunday when my son was six and my daughter three.",2026-01-06T17:27:51Z
canon,fanfic,after,"Rev Canon Dr Rob Kelsey Norham, Northumberland • Have an opinion on anything you’ve read in the Guardian today?",2025-07-16T17:00:20Z
canon,fanfic,after,"The ruthlessness of Gauguin’s gaze crops up again in the work of Emma Amos, who often used her groundbreaking art to critique the whiteness and maleness of the artistic canon.",2026-02-12T14:27:30Z
canon,fanfic,after,"She’s in my canon which, as well as Amos, includes performance art, from Interior Scroll to Yoko Ono’s Cut Piece (in which members of the audience cut off pieces of Ono’s clothing).",2026-02-12T14:27:30Z
canon,fanfic,after,"These I included in my canon alongside paintings that are more straightforwardly painterly works of self-portraiture by Alice Neel, Jenny Saville, Gwen John and Suzanne Valadon, as well as contemporary artists such as Lisa Brice.",2026-02-12T14:27:30Z
