word,event,period,sentence,timestamp
clanker,star-wars,after,Name: Clanker.,2025-09-01T16:23:02Z
clanker,star-wars,after,"First used to refer pejoratively to battle androids in a Star Wars game in 2005, clanker was later popularised in the Clone Wars TV series.",2025-09-01T16:23:02Z
clanker,star-wars,after,"Popular culture has spawned other anti-robot slurs – there’s “toaster” from Battlestar Galactica, and “skin-job” from Blade Runner – but “clanker” seems to have won out for now.",2025-09-01T16:23:02Z
clanker,star-wars,after,"You say that, but many suggest using “clanker” could help to normalise actual bigotry.",2025-09-01T16:23:02Z
clanker,star-wars,after,Popular memes and spoof videos tend to treat “clanker” as being directly analogous to a racial slur – suggesting a future where we all harass robots as if they were an oppressed minority.,2025-09-01T16:23:02Z
clanker,star-wars,after,I guess calling it a clanker would count.,2025-09-01T16:23:02Z
clanker,star-wars,after,Last Thing: Clanker!,2025-09-02T10:46:41Z
clanker,star-wars,after,"“Clanker”, first used for battle droids in a 2005 Star Wars game, has become a popular online insult for robots and AI chatbots such as ChatGPT.",2025-09-02T10:46:41Z
clanker,star-wars,after,"Not just their clanker slur, but the scrumptious slop they serve on demand.",2025-11-25T04:17:16Z
clanker,star-wars,after,"Shortly after she’s born, someone even screams out: “Clanker!” Judging by cheers alone, everyone’s favourite character is Bella’s gruff, handsome dad, the police chief Charlie Swan.",2025-10-14T14:00:44Z
clanker,star-wars,before,"Then a huge, unreturnable clanker.",2024-09-01T22:34:32Z
clanker,star-wars,before,"It’s intended for Zamburek, but it’s a real clanker, and is easily snaffled by Iheanacho.",2020-01-25T14:50:23Z
clanker,star-wars,before,But his pass is a real clanker and that’s a goal kick.,2018-08-15T21:48:43Z
clanker,star-wars,before,"Three years later he scored 20 league goals, many from a bespoke Touré-role best described as Midfield Forward Run-Clanker, or Goal-Pylon Stampede-Machine.",2016-12-30T13:50:05Z
clanker,star-wars,before,Just try not to make yourself look like a complete clanker in the process.,2016-08-11T15:23:12Z
clanker,star-wars,before,"When the world goes to war, it's Darwinist against Clanker.",2012-01-19T09:00:00Z
clanker,star-wars,before,"To be fair to the much-maligned Sunderland clanker, that was a fair 50-50 challenge.",2012-02-18T19:10:00Z
