word,event,period,sentence,timestamp
follower,social-media,after,"“My followings on Instagram (1.2 million), Twitch (108,000) and YouTube (799,000) were included as part of my profile, and I listed my follower counts on each platform,” she said.",2026-01-11T16:34:50Z
follower,social-media,after,"Patricia Krenwinkel, a former Charles Manson follower who has been imprisoned for 56 years over her role in the Tate-LaBianca murders in Los Angeles, could go free after being recommended for parole last week.",2025-06-04T11:00:04Z
follower,social-media,after,"That includes Sirhan Sirhan, who remains imprisoned for the assassination of Robert F Kennedy, despite his son, Robert F Kennedy Jr, calling for his release; Leslie van Houten, another former Manson follower whose release was vetoed by Newsom, but who was freed by an appeals court in 2023; and Krenwinkel herself, who was granted parole in 2022, but blocked by Newsom.",2025-06-04T11:00:04Z
follower,social-media,after,"On an obscure and secretive TikTok account the Base operates for recruitment, counting just 30 followers, a private and mortarmen in the 1st Infantry Division is listed as a follower.",2025-04-14T11:00:42Z
follower,social-media,after,"My partner, let’s call her Cat Follower, is a cat follower (online and down the street).",2025-08-11T02:27:09Z
follower,social-media,after,The mistake Cat Follower made was to allow me to be the one to pick up our little “fully grown” kitten from the lost cat hotel.,2025-08-11T02:27:09Z
follower,social-media,after,"Media reports have alleged that Naveed Akram, one of the alleged Bondi beach gunman, was a follower of a Dawah preaching movement Haddad led.",2026-01-14T02:42:27Z
follower,social-media,after,"“His involvement is limited to occasional invitations as a guest speaker, including delivering lectures and, at times, Friday sermons.” On 17 December, the account posted a statement from Haddad, in which he denied Akram was a part of the Dawah preaching movement, or a follower of his, claiming “no verified photograph exists” showing the two together.",2026-01-14T02:42:27Z
follower,social-media,after,"As a past follower of Marie Le Conte (AKA the Young Vulgarian) on X, I read her column on leaving the platform with interest, complete empathy and self-reflection (To anybody still using X: sexual abuse content is the final straw, it’s time to leave, 12 January).",2026-01-18T17:37:26Z
follower,social-media,after,"The suit alleges Meta’s “failure to safeguard user privacy, including through its continued sharing of Follower and Following data … even after Meta knew that this engagement-focused product feature was resulting in sextortion-related deaths of teen users across the world”.",2025-12-17T19:52:46Z
follower,social-media,after,"Meta announced last October that accounts it detects as showing signals of suspicious behaviour would not be able to see people’s follower or following lists, removing their ability to exploit this feature, and would be blocked from being able to request to follow teens.",2025-12-17T19:52:46Z
follower,social-media,after,"The fictional nation was created by Nithyananda – a self-anointed “godman” and the “supreme pontiff of Hinduism” – in 2019, after he fled India while facing charges of abducting children for his ashram and one of raping a follower.",2025-04-08T04:00:36Z
follower,social-media,after,"(Some statistics about follower numbers are given over the closing credits.) Lee fiercely believed that all sex was wrong, and a wicked distraction from the spiritual.",2025-09-01T14:00:09Z
follower,social-media,after,No follower in this film is so disloyal as to ask how then is humanity to be saved from dying out?,2025-09-01T14:00:09Z
