word,event,period,sentence,timestamp
pappu,indian-election,before,"Having gone big on the vankaya fry of long aubergines in peanut and sesame seed and the tomato pappu – a dal with tomato and black mustard seeds – there was no room left for dessert, so I have no idea what the anokhi kheer, or Hyderabadi onion pudding garnished with pistachio, even looks like.",2023-06-09T11:00:52Z
pappu,indian-election,before,"He has been accused of being a part-time politician, a reluctant and ineffective president of the party, dubbed “pappu” (a nickname for a young, naive boy) by his opponents.",2023-01-05T08:00:15Z
pappu,indian-election,before,"It has given the rank and file a sense of purpose, having organised this enormous roadshow, and suggests that the “pappu” label no longer fits.",2023-01-05T08:00:15Z
pappu,indian-election,before,"Gandhi was widely mocked by the BJP and the media as pappu (a small boy) and Rahul Baba, meaning upper class.",2023-01-27T07:32:35Z
pappu,indian-election,before,"But the man derided by political critics as “pappu” – or naive child – faces significant hurdles to lead India, including an ailing Congress party, doubts over his mettle and an opponent who is India’s most formidable prime minister in decades, Narendra Modi.",2017-12-11T13:22:47Z
pappu,indian-election,before,"On Tuesday he was formally charged with ordering the murder of Arshad Pappu, a leading member of a rival gang, in March.",2013-05-02T18:28:21Z
pappu,indian-election,before,"A mob reportedly made up of well-known PAC men are said to have tortured Pappu, killed him, paraded his body around Lyari and played football with his head.",2013-05-02T18:28:21Z
pappu,indian-election,before,"Let me describe the DOA detectives for you: Pappu: A scrawny,'fraidy street urchin who can read people's minds.",2013-03-04T12:00:00Z
pappu,indian-election,before,"Pappu Raj is instantly recognisable as an old-style Indian politician – with his white Nehru cap, long white cotton robes, and his neck adorned with garlands of flowers from admiring supporters.",2009-05-11T14:15:11Z
pappu,indian-election,before,"The Pappu Raj campaign promises voters that a ""beautification drive"" will be launched in India's cities: ""Every footpath, crossing and traffic signal will have photos of local netaji [politician].",2009-05-11T14:15:11Z
pappu,indian-election,before,"Pappu, 28, and Rajesh, 32, said they had worked from 9am to 10pm for a basic 4,600 rupees a month, with overtime paid at single rate.",2010-08-07T23:05:56Z
pappu,indian-election,before,"Jaswinder Singh, 45, was cooking opposite the body at the Pappu Sweet Centre in Wolverhampton as it was discovered by police, city magistrates heard.",2008-10-14T23:01:00Z
pappu,indian-election,before,Cafe worker Pappu Mishra said two men dressed in black walked into the station pulling guns from their bags and shooting commuters.,2008-11-28T00:01:00Z
pappu,indian-election,before,"11th over: India 28-2 (Ganguly 5 Tendulkar 4) Sriharsha Pappu, I couldn't agree with you more when you say: ""The commentators are driving me insane with their relentless patronizing of the Bangladeshis, referring to them as 'these teams', minnows 'its bangladesh and its 87mph!'.",2007-03-17T17:26:08Z
pappu,indian-election,before,"23rd over: India 67-3 (Ganguly 27 Dravid 10) ""Ganguly at his best used to devour slow left armers - lets see what he can do now"" suggests Sriharsha Pappu, before pointing out that: ""some small consolation though to see the Pakistanis struggling as well"".",2007-03-17T17:26:08Z
pappu,indian-election,before,"""In a moment of inspiration I ended up buying tickets for what I thought would be the India v Pakistan Super Eight game,"" says Sriharsha Pappu.",2007-03-18T13:27:41Z
pappu,indian-election,before,"""Just wondering how Rob Smyth is feeling about Naved ul Rana's chances of taking any more wickets this World Cup,"" asks Sriharsha Pappu, a little cruelly.",2007-03-18T13:27:41Z
pappu,indian-election,before,"""It's not like Pietersen came in at 160-2 and then dawdled playing for a personal score,"" says Sriharsha Pappu.",2007-04-08T12:24:58Z
pappu,indian-election,before,"31st over: England 110-4 (Collingwood 12 Flintoff 21) Dominic O'Reilly isn't the first to say this, but he is the most eloquent: ""This 'we'll take the scenic route' approach is like England's wins over Zimbabwe and Kenya in '99 when they went out on run rate."" Although, as Harsha Pappu points out, ""does the run rate really matter?",2007-04-11T14:59:35Z
pappu,indian-election,before,"""If Dan Curtis - Over 8 - has been 'rating' Sehwag ahead of this World Cup, then may I ask if he has been living in a cave for the past 12 months?"" wonders Sriharsha Pappu.",2007-03-23T17:26:45Z
pappu,indian-election,before,"""Is anyone else perplexed by the WI batting order?"" wonders Harsha Pappu.",2007-03-13T18:01:22Z
pappu,indian-election,before,"In a wing of the main hospital in Bihar's capital, Patna, is the burly, six-foot figure of Pappu Yadav.",2004-04-26T01:38:27Z
pappu,indian-election,before,"Shah Jahan was a Muslim King,' Mehtab Pappu, 22, from Agra, said.",2000-12-17T18:46:56Z
