word,event,period,sentence,timestamp
stan,eminem,after,Stan Wawrinka described his marathon second-round win at the Australian Open as a special moment in his career after becoming the first 40-year-old to reach the third round of a men’s grand slam in 48 years.,2026-01-22T15:31:13Z
stan,eminem,after,I’ve looked up to Stan for a long time.,2026-01-22T15:31:13Z
stan,eminem,after,"In the first week of the final year of his life as a professional tennis player, Stanislas “Stan” Wawrinka found himself in the familiar position of staring down an opponent nearly half his age.",2026-01-12T12:10:07Z
stan,eminem,after,"An earlier version suggested Stan Wawrinka had beaten Novak Djokovic on the way to the 2016 US Open final; however, Wawrinka beat Djokovic in the final and also defeated him on the way to the 2014 Australian Open final.",2026-01-12T12:10:07Z
stan,eminem,after,Football Australia’s eight-month global search for a new chief executive has ended with former Stan boss Martin Kugeler appointed to lead the federation.,2026-01-15T00:57:29Z
stan,eminem,after,"“I am delighted to be given the opportunity to lead Football Australia as CEO and help us realise our potential, with the clear ambition to drive growth and reach new heights in the sport that we love.” Kugeler is originally from Germany and moved to Australia in 2009, going on to work for Stan in senior executive roles across a decade.",2026-01-15T00:57:29Z
stan,eminem,after,"“Football has an unmatched passionate community of players, coaches, officials, volunteers and supporters.” Kugeler was responsible for the launch of Stan Sport and was appointed Stan chief executive in 2021 before leaving the role in January last year.",2026-01-15T00:57:29Z
stan,eminem,after,Stan moved into the football space under Kugeler’s tenure and acquired rights to broadcast Uefa competitions including the Champions League in 2021.,2026-01-15T00:57:29Z
stan,eminem,after,"But Stan’s stable does not include Australian football with Socceroos and Matildas matches, as well as the A-Leagues, available on Paramount until 2028.",2026-01-15T00:57:29Z
stan,eminem,after,Perhaps that is where Halifax’s Stan Moody comes in.,2025-08-31T07:00:23Z
stan,eminem,after,“Stan just happened to pick up a cue by luck.,2025-08-31T07:00:23Z
stan,eminem,after,“You need big stars in a sporting market and there’s no doubt Stan is becoming one of those names people will follow.,2025-08-31T07:00:23Z
stan,eminem,after,"Streaming provider Stan is set to introduce more advertisements on its sporting broadcasts despite recently raising its price by $5 per month, as it enjoys an increase of around 100,000 subscribers directly thanks to its acquisition of the Premier League rights from Optus.",2025-08-27T03:22:11Z
stan,eminem,after,"Last weekend’s 9.30pm AEST clash between Manchester City and Tottenham attracted an average audience of 567,000 across Nine and Stan, with a reach of over 1.5m, according to Stanton.",2025-08-27T03:22:11Z
stan,eminem,after,"“The results have been extraordinary, with the second weekend delivering the most sports viewers on a single day in Stan’s history, ahead of the first Sunday of the 2024 Olympics.” The Lions series was also described as “very strong for us”, said Stanton, who added that the company’s digital growth strategy “was further progressed with the introduction of advertising to Stan Sport” for the rugby tour.",2025-08-27T03:22:11Z
stan,eminem,after,"Ahead of AFL finals sign up for our free weekly newsletter Stan Sport costs $20 per month on top of an entertainment plan starting at $12, and its growth helped inflate Stan’s overall revenues by 10%.",2025-08-27T03:22:11Z
stan,eminem,after,"Overall subscribers to Stan increased to 2.5m from 2.3m a year ago, and Stanton said it was “about right” to attribute 100,000 of that growth to the acquisition of the Premier League.",2025-08-27T03:22:11Z
stan,eminem,after,The deal has now made Stan the main challenger to Kayo Sports in the sports streaming market in Australia.,2025-08-27T03:22:11Z
stan,eminem,after,"“We moved our Stan Sport price from $15 to $20 [per month] because of the addition of the Premier League into that suite, because we’ve got scale in that market now, so the scale of Stan Sport is very sizeable now,” Stanton said, highlighting its football, tennis and Olympics properties.",2025-08-27T03:22:11Z
stan,eminem,after,"“The good thing for us about that ‘win’, if you like [gaining the Premier League rights], was the fact that now Stan Sport is a real, a good scale player and a good opportunity for us.” Channel Nine has used its other properties to promote its new acquisition, including a story on A Current Affair last week covering the “rise” of the Premier League in Australia.",2025-08-27T03:22:11Z
stan,eminem,after,Next for him: Stan Wawrinka!,2026-01-19T13:10:10Z
stan,eminem,after,"However, here are howevers, most particularly the wonderful Stan Wawrinka, who we must enjoy while we still can and who leads Laslo Djere by two sets to one, while Jacob Fearnley is on the comeback trails, down 2-1 against Kamil Majchrzak but up a break in set for.",2026-01-19T13:10:10Z
stan,eminem,after,"With the news this week cautiously announced in the Hollywood Reporter that Sebastian Stan will be playing Dent in Matt Reeves’ highly anticipated forthcoming sequel to The Batman, it’s quite possible the new episode will be less interested in the masked theatrics of the 20th-century big screen caped crusader, and more in the idea that the very concept of justice is about to slowly disintegrate.",2026-01-16T13:44:04Z
stan,eminem,after,"In Stan, Reeves has an actor who excels at playing men whose morality erodes like damp plaster, which feeds beautifully into his vision of Gotham.",2026-01-16T13:44:04Z
stan,eminem,after,"In Stan’s new six-part drama, Brooke Satchwell delivers a painfully good performance as Lillian, a distraught widow whose centre of gravity – entire footing in the universe, in fact – has been thrown off by the death of her fiance.",2025-12-31T14:00:14Z
stan,eminem,after,All episodes of Dear Life premiere on Stan on 1 January,2025-12-31T14:00:14Z
stan,eminem,after,"Elsewhere, Stan Wawrinka put up a valiant fight in his final match at the Australian Open before falling 7-6 (5), 2-6, 6-4, 6-4 to the ninth seed Taylor Fritz in the third round.",2026-01-24T06:11:36Z
stan,eminem,after,"Walking with Stan Grant, in an area steeped with personal significance for the distinguished writer and broadcaster, the sign seems particularly apt.",2025-07-11T15:00:46Z
stan,eminem,after,“To a little dog coming up to you and saying hello.” Stan Grant will feature in the Malthouse Theatre production of Echo: Every Cold Hearted Oxygen on 16 July at the Merlyn Theatre • This article was amended on 12 July 2025 to clarify that Stan Grant writes a fortnightly rather than weekly column in the Saturday Paper.,2025-07-11T15:00:46Z
stan,eminem,after,"For fans of knotty, ripped-from-the-headlines dramas, British TV remains hard to beat, and the new Stan original series The Hack is a worthy addition to the lineage.",2025-09-19T01:36:52Z
stan,eminem,after,"“Sometimes directors simply serve the script, but Lewis served the story,” Thorne says in a Stan Q&amp;A.",2025-09-19T01:36:52Z
stan,eminem,after,Watch The Hack exclusively on Stan now.,2025-09-19T01:36:52Z
stan,eminem,after,"In between the lyrics Reilly drifts around the stage with some silent clowning that brings back memories of his Oliver Hardy on screen, opposite Steve Coogan’s Stan Laurel, in their film about the double act’s 50s variety hall tour.",2025-11-18T13:51:42Z
stan,eminem,after,"Harris plays Stan Deen, the English teacher at Garden Spot high school, who cares enough to help.",2025-09-17T07:00:29Z
stan,eminem,after,"The sweet-natured, quietly radical twist is that Stan is far from cool.",2025-09-17T07:00:29Z
stan,eminem,after,"The first draft of the screenplay was co-written by the real Nate, now a photographer and theatre producer in his 50s, so when I speak to him and Damian Harris on Zoom – Harris from his home in Los Angeles, Nate from Germany, where he is promoting the film – we soon come to the issue of Stan’s uncoolness.",2025-09-17T07:00:29Z
stan,eminem,after,"It is not a healthy environment, to say the least, and Stan then comes to the rescue – specifically, he drives to the rescue, singing show tunes.",2025-09-17T07:00:29Z
stan,eminem,after,"Stan was also the person who encouraged Nate to write down his experiences, whereupon he and a friend decided that they should collaborate on a screenplay rather than a prose memoir.",2025-09-17T07:00:29Z
stan,eminem,after,"I worked with Jared on it, and it just became really clear that he should play Stan.",2025-09-17T07:00:29Z
stan,eminem,after,"“As I was reading Nate’s script,” recalls Harris, “I thought, is this going to turn on Stan?",2025-09-17T07:00:29Z
stan,eminem,after,Are we going to find out some ulterior motive of Stan’s?,2025-09-17T07:00:29Z
stan,eminem,after,"It’s a story about the goodness in people.” Stan may sound too virtuous to be true, but after the decision was made to shoot the film on location in Lancaster County, Harris soon discovered how accurate Deen’s script was.",2025-09-17T07:00:29Z
stan,eminem,after,Stan took him in and let him sleep on his sofa for 18 months and helped pull him out of that dark place.,2025-09-17T07:00:29Z
stan,eminem,after,One running joke in Brave the Dark is that everyone in New Holland is willing to do Stan favours because they or their children have been helped by him.,2025-09-17T07:00:29Z
stan,eminem,after,"“We were able to get 47 investors in Lancaster County to back us, and most of them knew Stan,” says Deen, who was on the set every day of production.",2025-09-17T07:00:29Z
stan,eminem,after,"“We got to shoot at the school where Stan taught, and former students let us use their farm for the grandparents’ house, and a lot of food and different things were provided by different people.",2025-09-17T07:00:29Z
stan,eminem,after,"The town just poured in everything they could to make it happen.” Typically for a drama that shies away from the usual “inspirational teacher” tropes, Brave the Dark doesn’t give Stan a triumphal final scene in which the pupils stand on their desks, or the whole town throws him a surprise party.",2025-09-17T07:00:29Z
stan,eminem,after,"Dear Son generously invites the audience into its warm and vulnerable camaraderie, much like the essays from which it is drawn, including pieces by writer and journalist Stan Grant, country singer Troy Cassar-Daley and NRL player Joe Williams.",2026-01-11T00:21:24Z
stan,eminem,after,"Bani here plays a father fighting for his children’s future in the Torres Strait amid global heating that is washing burial grounds away: “We are picking up our ancestors’ bones as if they were shells.” Page delivers the gravitas of Stan Grant’s essay about his father’s fight to retain his Wiradjuri language and culture, and the scars left all over his body and soul – “Pop is scarred from Australia”, as Grant wrote to his own sons – then the actor displays a gentle bathos as he takes on Daniel Morrison’s story about coming out as gay to his son.",2026-01-11T00:21:24Z
stan,eminem,after,"Sebastian Stan, who stars in The Apprentice, a biopic of Donald Trump focusing on his association in the 1970s with lawyer Roy Cohn, has said that other actors in Hollywood are too “afraid” of the president-elect to participate in press with him.",2024-11-21T13:29:20Z
stan,eminem,after,"Stan claimed that he had failed to find a single peer who would appear opposite him in the Actors on Actors series run by industry magazine Variety, in which key awards contenders quiz each other.",2024-11-21T13:29:20Z
stan,eminem,after,"During a recent Q&amp;A about the film in Los Angeles alongside director Ali Abbasi, Stan – best known for his work in Marvel films – said: “I couldn’t find another actor to do it with me, because they were too afraid to go and talk about this movie.",2024-11-21T13:29:20Z
stan,eminem,after,"“We invited him to participate in Actors on Actors, the biggest franchise of awards season, but other actors didn’t want to pair with him because they didn’t want to talk about Donald Trump.” Stan said that he felt the response was ominous in terms of the film industry’s interactions with Trump after he comes into power in January.",2024-11-21T13:29:20Z
stan,eminem,after,"“For many, the idea that Trump is the same as any one of us is a really difficult thing to deal with at the moment and I understand the emotions are very high, but I think that’s the only way you’re going to grasp this film,” said Stan.",2024-11-21T13:29:20Z
stan,eminem,after,"‘The whole film,” says Stan Douglas, “is a bizarre racist fantasy.",2025-09-26T13:28:53Z
stan,eminem,after,"“This whole idea of liberation,” he says, “has a dark side that always comes back on itself.” • Stan Douglas: Birth of a Nation and The Enemy of All Mankind is at Victoria Miro, London, until 1 November.",2025-09-26T13:28:53Z
stan,eminem,after,"Journalist and academic Stan Grant took shots at “political elites” in the United States, saying neither Donald Trump or Kamala Harris were the answer to the “existential crisis of America”.",2024-10-29T06:31:26Z
stan,eminem,after,"Journalist and academic Stan Grant has taken shots at “political elites” in the United States, as well as coverage of the US election, in a speech made at a social cohesion conference in western Sydney.",2024-10-29T06:31:26Z
