word,event,period,sentence,timestamp
streamer,e-gaming,,"A federal judge has dismissed an indictment against a Los Angeles TikTok streamer who was shot by an officer during an immigration enforcement operation and accused of assault against a federal agent, citing constitutional violations.",2025-12-29T21:44:12Z
streamer,e-gaming,,"Hasan Piker, a popular streamer with 4.5 million followers across YouTube and Twitch, who has been hailed by mainstream publications such as the New Yorker and New York Times as the left’s answer to the deluge of rightwing internet influencers, says he was detained and questioned for hours by border control agents as he re-entered the US (Piker is a US citizen).",2025-05-13T16:23:17Z
streamer,e-gaming,,That the biggest progressive streamer in the US was subjected to this experience is emblematic of a phenomenon that requires an accurate and insistent description: it is the biggest assault on free speech in the west since the height of McCarthyism seven decades ago.,2025-05-13T16:23:17Z
streamer,e-gaming,,"The account of online streamer Dinah has 820,000 followers on Instagram, and has promoted Rainbet, a self-described online crypto casino, in posts on Instagram.",2026-02-03T14:00:06Z
streamer,e-gaming,,"Ted Sarandos, the co-CEO of Netflix, has defended his company’s reputation, saying the streamer is “saving Hollywood” by securing an audience for content which would otherwise disappear.",2025-04-24T15:29:31Z
streamer,e-gaming,,"We deliver the programme to you in a way you want to watch it.” Declining box office takings forced the question, he continued, of “What is the consumer trying to tell us?” Sarandos’s verdict: “That they’d like to watch movies at home.” Asked whether he felt making movies for people to watch in cinemas as a communal experience was increasingly obsolete, Sarandos said, “I believe it is an outmoded idea, for most people – not for everybody.” In 2019, Netflix took over the last single-screen movie theatre in Manhattan, but since the pandemic, the streamer’s primacy has accelerated – although a much-coveted best picture Oscar still eludes the company.",2025-04-24T15:29:31Z
streamer,e-gaming,,"It’s time for another instalment of A Show for Every Streamer, where we recommend a TV series to watch on each of the approximately 3,082 streaming services currently vying for your limited recreational time.",2025-05-09T16:00:30Z
streamer,e-gaming,,"PlutoTV | 21 Jump Street Cheerful and cheaper than cheap, this streamer seems to be mostly made up of half-remembered crime dramas from the 80s and 90s.",2025-05-09T16:00:30Z
streamer,e-gaming,,The world’s biggest music streaming service announced a crackdown on vexatious tracks after admitting the rise of powerful AI tools had coincided with a significant amount of spam content being tackled by the streamer.,2025-09-25T12:00:35Z
streamer,e-gaming,,"The market-leading music streamer is collaborating with the Sony, Universal and Warner music groups – whose combined rosters feature artists including Beyoncé, Ed Sheeran and Taylor Swift – to create new AI features.",2025-10-16T12:49:22Z
streamer,e-gaming,,"It’s yet another one of the streamer’s mechanically assembled seasonal box-tickers – lead best known from the 90s/2000s, a budget of what looks like $13, some unfunny pratfalls, some city v small town tension, a visibly Canadian shoot, regressive gender roles – and will probably be lapped up by the same crowd who come back every year knowing exactly what to expect.",2025-11-12T08:01:18Z
streamer,e-gaming,,Netflix isn’t offering any Black Friday deal – because it doesn’t have to – but everyone else in the streaming realm is clearly vying to be number two behind the biggest streamer in the world.,2025-11-27T18:15:42Z
streamer,e-gaming,,"Sadly existing subscribers aren’t eligible for these deals: they’re for new or certain returning subscribers only, depending upon the streamer.",2025-11-27T18:15:42Z
streamer,e-gaming,,"*** Peacock Deal: Free access to Peacock’s Premium tier when subscribed to Walmart+ for $49 per year $49 per year for Walmart+ Peacock isn’t offering a standalone deal on its own, but Walmart is offering the streamer’s Premium tier for free as an incentive for shoppers to line up for Walmart+.",2025-11-27T18:15:42Z
streamer,e-gaming,,"It’s not a bad streamer, yet not exactly an essential one either.",2025-11-27T18:15:42Z
streamer,e-gaming,,"I’m sure we have many more surprises in store for you.” A spokesperson for ABC (which originally co-commissioned the series with BBC, and is the Australian streamer) also confirmed at the time: “We have no plans to end the show.”",2026-01-29T00:01:06Z
streamer,e-gaming,,"Over its first three days, the series racked up more than 60.1m views, a new high for the streamer, with more than 368.4m hours viewed.",2025-07-01T20:46:26Z
streamer,e-gaming,,"While this has been called the final season, David Fincher has been rumoured to be developing an English-language remake for the streamer.",2025-07-01T20:46:26Z
streamer,e-gaming,,"The streamer has already found success with competition spin-off Squid Game: The Challenge, with a second season on the way.",2025-07-01T20:46:26Z
streamer,e-gaming,,"Promising Young Woman won Fennell the original screenplay Oscar, while Saltburn became a watercooler hit for streamer Amazon.",2026-02-12T13:34:03Z
streamer,e-gaming,,"But the reason why I wanted to talk about it was to give you more insight into what the government is doing, and to speak out against this sort of stuff.” The leftwing streamer has built a mass following on YouTube and Twitch around his blend of political, cultural and social commentary.",2025-05-12T22:19:48Z
streamer,e-gaming,,"Piker repeatedly described the exchange as “cordial” but said he was transparent with the officer interviewing him that he planned to speak out about his experience, which the streamer said felt anything but random and “routine”.",2025-05-12T22:19:48Z
streamer,e-gaming,,"It’s also a bingo card for just about everything that makes streamer-era TV so patronising, uninspiring and mind-numbingly dull.",2025-11-20T08:01:17Z
streamer,e-gaming,,"Like many a streamer comedy-drama, the pace is glacial and the plot both predictable and loudly spoon-fed to us by the characters, which means it can be second-screened with ease.",2025-11-20T08:01:17Z
streamer,e-gaming,,"“We appreciate the swift action of tournament security and local law enforcement to identify and address disruptive behavior.” Doherty, a 22-year-old streamer known for filming confrontational public pranks, with titles including “I crashed into a cop car” and “I got banned from Disney”, has amassed a large online following through high-energy stunt and reaction livestreams, content that platform algorithms often amplify because it generates strong engagement through confrontation and unpredictability.",2026-02-08T05:59:39Z
streamer,e-gaming,,"“Those women absolutely went out of their way to cross the street and arguably commit assault against the officers with whistles in the ears,” the rightwing streamer Steven Crowder weighed in last week, referring to women at the scene of Alex Pretti’s killing in Minneapolis.",2026-02-09T14:00:21Z
streamer,e-gaming,,"Last month, Peter Kosminsky, the director of Wolf Hall, provided written evidence to a select committee of MPs investigating the UK production market stating that he, the producer, the writer, and the star, Mark Rylance, had had to take “significant” pay cuts to get a second series of the Golden Globe-winning drama made because no streamer would co-fund it.",2025-02-06T13:00:23Z
streamer,e-gaming,,"When Hasan Piker was stopped and questioned about his political views by US Customs and Border Protection (CBP) agents at Chicago’s O’Hare airport last Sunday, the popular leftwing streamer thought he knew exactly what their motive was.",2025-05-17T13:00:07Z
streamer,e-gaming,,"The financial pressures mean that UK broadcasters are looking for international hits and projects that could be co-funded by a big streamer, meaning culturally British stories could disappear.",2025-08-20T14:56:34Z
streamer,e-gaming,,"Peter Kosminsky, the director of the BBC’s Wolf Hall, who has been leading calls for a streamer levy, has accused ministers of “running scared” of Donald Trump in their refusal to introduce it.",2025-08-20T14:56:34Z
streamer,e-gaming,,"Plenty of bands and artists refused to play ball with Spotify in its early years, when the streamer still had work to do before achieving total ubiquity.",2025-08-30T06:00:56Z
streamer,e-gaming,,"There was of course the publication of Liz Pelly’s marmalade-dropper of a book Mood Machine, with its blow-by-blow explanation of why Spotify’s model is so deleterious to musicians, including allegations that the streamer is filling its playlists with “ghost artists” to further push down the number of streams, and thus royalty payments, to real artists (Spotify denies this).",2025-08-30T06:00:56Z
streamer,e-gaming,,"The streamer continues to amend its model in ways that have caused frustration – demonetising artists with fewer than 1,000 streams, or by introducing a new bundling strategy resulting in lower royalty fees.",2025-08-30T06:00:56Z
streamer,e-gaming,,"If every episode of a series has been uploaded to a streamer, I often open the last episode, watch the final five minutes, close it and then start from the beginning.",2026-01-04T06:00:05Z
streamer,e-gaming,,"Meanwhile, Netflix fell nearly 2%, with its stock down almost 29% over the last year as shareholders fretted over whether the streamer would be able to complete what would be by far the biggest acquisition in its history.",2026-02-17T15:42:19Z
streamer,e-gaming,,It also found that more than 60% of former and current fast streamer respondents were dissatisfied with pay and benefits on the scheme.,2025-09-04T10:00:49Z
streamer,e-gaming,,The IfG recommended increasing fast streamer pay to be at least equal to the median pay for civil servants at the same grade level outside the scheme.,2025-09-04T10:00:49Z
streamer,e-gaming,,"Ortiz’s lawsuit, a copy of which has been obtained by the Guardian, argues that the agreement allowed him to walk away if Golden Boy’s broadcast partnership with Dazn ended – a condition he says was triggered when the promoter’s deal with the streamer expired on 31 December.",2026-01-16T18:41:37Z
streamer,e-gaming,,"“If cinema admissions are anything to go by in the age of the streamer, Europe and the US are neck and neck on their respective turfs with $8.4 billion and $8.5 billion respectively in 2024 – and 2025 looking similar.",2026-01-16T13:46:15Z
streamer,e-gaming,,"This year has seen YouTube achieve record viewership shares in the US, remaining the most-watched streamer as network television has struggled to compete.",2025-12-17T18:19:21Z
streamer,e-gaming,,"The Saudi Public Investment Fund (PIF), meanwhile, was an official partner at this summer’s Club World Cup, while its spin-off company, Surj Sport Investment, bought a $1bn stake in the streamer Dazn after it had itself paid $1bn to acquire the exclusive global rights to the Club World Cup.",2025-11-24T21:28:26Z
streamer,e-gaming,,"The government must step in.” The deal, which would bring titles including Harry Potter, The White Lotus, Superman and Game of Thrones, into the streamer’s already vast library was also criticised by the Directors Guild of America.",2025-12-05T19:31:29Z
streamer,e-gaming,,"“Netflix expects to maintain Warner Bros’ current operations and build on its strengths, including theatrical releases for films,” a statement from the streamer read this morning.",2025-12-05T19:31:29Z
streamer,e-gaming,,Six hours of advertising yourself on Netflix and – presumably – getting paid for providing streamer content at the same time?,2026-02-18T08:01:02Z
streamer,e-gaming,,"It was enough of a hit that it earned a sequel – pleasingly titled Influencers, which sees CW unleashed on an “incel” streamer and his conservative influencer girlfriend in Bali.",2026-01-20T14:00:06Z
streamer,e-gaming,,"That YouTuber is Mark “Markiplier” Fischbach, who – though I must confess I had never heard of before writing this piece– is a huge figure in the gaming streamer world, attracting millions of views for his playthrough videos and skits.",2026-02-07T07:00:57Z
