word,event,period,sentence,timestamp
tea,rupaul,after,"Next year, however, you may be more likely to be downing gut health shots and Japanese tea in the airport than the once-traditional morning pints.",2025-12-29T15:21:31Z
tea,rupaul,after,"Sales of matcha, the antioxidant-rich green tea, rose 165% at Manchester, Stansted and East Midlands airports this year as TikTok influencers sold it as the ultimate wellness drink.",2025-12-29T15:21:31Z
tea,rupaul,after,"Stansted alone recorded 70,000 sales of the Japanese super-tea this year – almost 200 a day.",2025-12-29T15:21:31Z
tea,rupaul,after,A jar of tea-soaked prunes with a cheeky splash of whisky is the gift you never knew you needed.,2025-12-10T13:00:00Z
tea,rupaul,after,"Don’t waste a fresh tea bag, though – enjoy a cuppa first, then use the spent one to infuse the prunes overnight.",2025-12-10T13:00:00Z
tea,rupaul,after,"Earl grey adds fragrant, citrus notes, builders’ tea gives a malty depth, lapsang souchong brings smokiness, and chamomile or rooibos offer softer, floral tones.",2025-12-10T13:00:00Z
tea,rupaul,after,"Tea-soaked prunes (or dried fruit) I like to give a jar of preserves as a gift whenever I’m invited somewhere for dinner, and this recipe turns a handful of dried fruit and a spent teabag into something that feels like a real treat.",2025-12-10T13:00:00Z
tea,rupaul,after,"The tannins in tea balance the sweetness of the fruit beautifully, while a splash of whisky, brandy or rum lends a gentle warmth.",2025-12-10T13:00:00Z
tea,rupaul,after,"Ibsen’s classic is transposed to the world of filmmakers and movie stars in London, 1948, with tea dresses, pencil moustaches, and India freshly independent.",2025-10-28T12:18:35Z
tea,rupaul,after,Then perhaps what you need is a bubble tea.,2025-12-30T12:00:39Z
tea,rupaul,after,"‘We have courage in our blood’ Brother Dong opened the first of his bubble tea shops in Odesa in November 2022, raising thousands of dollars from Chinese investors.",2025-12-30T12:00:39Z
tea,rupaul,after,"Bubble tea is the unofficial national drink of Taiwan, although it is now popular across China and other parts of east Asia.",2025-12-30T12:00:39Z
tea,rupaul,after,"It comes in a dizzying array of flavours, but the most typical way of drinking it is as a sweetened milky tea containing chewy tapioca “bubbles” made from cassava root.",2025-12-30T12:00:39Z
tea,rupaul,after,"He wants to remind the youths who come for bubble tea: “We, the Chinese, the Taiwanese, have courage in our blood, and we will help you.” Each round trip to collect the pearls can be up to 5,000km, Brother Dong estimates.",2025-12-30T12:00:39Z
tea,rupaul,after,"As well as bubble tea ingredients, Brother Dong carries other supplies that might be useful in Ukraine, especially in the depths of its frigid winter: blankets, gloves, portable heaters.",2025-12-30T12:00:39Z
tea,rupaul,after,"After crossing the border into the western city of Lviv, Brother Dong and a small team of about 10 volunteers, known as the “Odesa Fighting Cats”, distribute the goods across the country, including to four bubble tea shops that Brother Dong has opened since the start of the Russian invasion.",2025-12-30T12:00:39Z
tea,rupaul,after,"With its large silver pouch, artistic label and delicate leaves, Dalreoch Scottish white tea might be expected to grace elegant cups with saucers, perhaps with a scone served on the side.",2025-10-28T13:00:35Z
tea,rupaul,after,This is not an ordinary afternoon tea but evidence in a crime that science helped solve.,2025-10-28T13:00:35Z
tea,rupaul,after,"“It’s a very large packet – 250g – and tea growing in Scotland was at a very small scale,” he said.",2025-10-28T13:00:35Z
tea,rupaul,after,"Burslem spent more than two decades in academia before finding himself in the role of an expert witness, helping to crack an audacious fraud that took in top hotels, leading politicians, tea growers across Scotland – and swathes of the media.",2025-10-28T13:00:35Z
tea,rupaul,after,At its heart was a tantalising idea: creating tea plantations in Scotland to produce premium brews.,2025-10-28T13:00:35Z
tea,rupaul,after,"O’Braan, 55, burst on to the scene in the mid-2010s with his “Wee Tea” plantation in Perthshire.",2025-10-28T13:00:35Z
tea,rupaul,after,"O’Braan was happy to help, selling them tea plants he said had been grown in Scotland and cultivated to withstand the harsh conditions, as well as offering growing advice.",2025-10-28T13:00:35Z
tea,rupaul,after,"In media interviews he claimed tea could be “forced”, like rhubarb.",2025-10-28T13:00:35Z
tea,rupaul,after,"As the tea rush grew, more plantations sprang up as part of O’Braan’s “Tea Growers’ Association”, with articles running in local and national press, on the radio and on TV news.",2025-10-28T13:00:35Z
tea,rupaul,after,"In 2015, Scotland’s then first minister, Nicola Sturgeon, attended the US launch of O’Braan’s tea at the five-star Lowell hotel on New York’s Upper East Side, alongside the Scottish actor Alan Cumming.",2025-10-28T13:00:35Z
tea,rupaul,after,The same year I met O’Braan at the Dorchester hotel in London for an article on British tea.,2025-10-28T13:00:35Z
tea,rupaul,after,"He was not only supplying tea to the hotel but had also helped to set up tea plants on its roof terrace – tea, the Dorchester told me at the time, that would also be incorporated into some of the hotel’s offerings.",2025-10-28T13:00:35Z
tea,rupaul,after,"Richard Ross, a drinks writer, bought about 500 young tea plants from O’Braan, eager to make use of some land in Perthshire.",2025-10-28T13:00:35Z
tea,rupaul,after,"“He seemed like a credible individual, somebody I could do business with.” Ross planted his tea in the autumn of 2015 and early the next year gave O’Braan permission to show a French news organisation around his plantation while he was away.",2025-10-28T13:00:35Z
tea,rupaul,after,"Three weeks later he found O’Braan on the doorstep proffering an apology and a huge tub filled with three kilograms of a fine, processed tea.",2025-10-28T13:00:35Z
tea,rupaul,after,"“I look at the bucket and think: ‘That’s a lot of tea,’” Ross said.",2025-10-28T13:00:35Z
tea,rupaul,after,"“I took a small amount so that I could taste some myself and maybe show off to my family that actually I had my first Scottish tea that I’d managed to grow myself,” he said.",2025-10-28T13:00:35Z
tea,rupaul,after,“Here was a man who we saw as this expert in tea.,2025-10-28T13:00:35Z
tea,rupaul,after,He was sort of acknowledged as such in [the] media and by people who are buying the tea for these big restaurants and hotels.,2025-10-28T13:00:35Z
tea,rupaul,after,"With concerns growing and O’Braan becoming more elusive and difficult to deal with, the tea growers regrouped as “Tea Scotland” in an attempt to distance themselves from O’Braan and protect their reputation.",2025-10-28T13:00:35Z
tea,rupaul,after,"And having previously heard that the prestigious Balmoral hotel was offering a tea menu featuring an array of single-estate Scottish teas, he decided to visit.",2025-10-28T13:00:35Z
tea,rupaul,after,"But when he saw the tea list, clearly linked to O’Braan, he realised the descriptions referred to plantations owned by members of Tea Scotland – none of which were yet selling their tea.",2025-10-28T13:00:35Z
tea,rupaul,after,"Outraged, the tea growers contacted the authorities.",2025-10-28T13:00:35Z
tea,rupaul,after,Two local authorities also raised concerns after being unable to ascertain where the tea leaves grown by O’Braan were being turned into a finished product.,2025-10-28T13:00:35Z
tea,rupaul,after,"Wilson’s team found O’Braan had been buying tea from wholesalers in Oxford and London, and that some of the transactions could be linked to dates and quantities of deals between O’Braan and the Balmoral.",2025-10-28T13:00:35Z
tea,rupaul,after,Further evidence came from an Italian tea grower who had turned up in Scotland looking for O’Braan with a large unpaid bill for plants.,2025-10-28T13:00:35Z
tea,rupaul,after,"Tea experts also provided evidence, revealing it would take several years before a plant growing in Scotland would produce leaves suitable for making a brew.",2025-10-28T13:00:35Z
tea,rupaul,after,As for those prizes his tea was supposed to have won?,2025-10-28T13:00:35Z
tea,rupaul,after,Yet it remained important to show that the tea O’Braan was selling was not of Scottish origin.,2025-10-28T13:00:35Z
tea,rupaul,after,"Working with the Scottish tea growers, Burslem had already begun pilot studies to explore the provenance of different teas.",2025-10-28T13:00:35Z
tea,rupaul,after,"At its core, the approach involved analysing tea samples for concentrations of 10 different elements including cadmium, arsenic and nickel.",2025-10-28T13:00:35Z
