word,event,period,sentence,timestamp
trend,social-media,after,I’m just worried that a trend like this going viral on something as shallow as TikTok will lead to a rise of pseudointellectualism.,2026-01-19T13:56:54Z
trend,social-media,after,"Organised, rather bizarrely, by sibling rappers OKay the Duo, the meetup is the latest manifestation of a growing tongue-in-cheek trend for quarter-zips and matcha that has taken over TikTok globally.",2025-12-29T10:00:32Z
trend,social-media,after,"The trend started when Jason Gyamfi, a computer science graduate, posted a video on TikTok of him and his friend Richard Minor showing off their quarter-zips.",2025-12-29T10:00:32Z
trend,social-media,after,"It’s a lot easier to communicate with people when they don’t stereotype you based on what you’re wearing.” It’s the latest iteration of a trend that’s been growing steadily over the last few years: the casualisation of office wear, accelerated by the pandemic.",2025-12-29T10:00:32Z
trend,social-media,after,"It works across work and leisure, which has always been the point.” According to John Lewis, searches for men’s quarter-zips are up 425% this year, but it’s a trend that spans womenswear too.",2025-12-29T10:00:32Z
trend,social-media,after,The trend offers an aspirational version of masculinity that blends the softness of the performative male with the power of a finance bro.,2025-12-29T10:00:32Z
trend,social-media,after,"For Andrew Amoako – a wealth management associate and content creator responsible for the Making It Out TikTok series, which pokes fun at corporate culture while showing people from underprivileged backgrounds the benefits of the corporate world – the quarter zip trend is also about social mobility.",2025-12-29T10:00:32Z
trend,social-media,after,"As Groves points out of the quarter-zip: “The same garment can read as professional, ironic, aspirational or threatening, depending on the wearer and the setting.” Of course, the quarter-zip and matcha trend is supposed to be lighthearted, a bit of fun that may encourage some people to dress differently.",2025-12-29T10:00:32Z
trend,social-media,after,“I’m quite wary of the trend analysis.,2025-11-08T06:00:56Z
trend,social-media,after,"The trend for Advent calendars aimed at adults is “superfluous consumerism” that adds to excessive and wasteful consumption, according to environmental groups.",2025-11-22T10:00:36Z
trend,social-media,after,"If it consequently loses its allure, then you’re paying all that money for something pretty ephemeral that will, if its even been designed responsibly in the first place, just go into recycling after Christmas.” Samantha Dover, the insights director of beauty at the market analyst Mintel, said: “The adult Advent calendar trend isn’t going anywhere anytime soon, but the landscape in which these calendars sit is changing.",2025-11-22T10:00:36Z
trend,social-media,after,"It was when Brooklyn married Nicola Peltz in 2022 that he became Brooklyn Peltz Beckham, an ally who turbo-boosted a quietly growing trend.",2026-01-08T11:00:06Z
trend,social-media,after,"For Esquire’s style director, Johnny Davis, there is a performative element to the trend.",2025-10-24T15:12:00Z
trend,social-media,after,"The photo of David together with Victoria in the field from that shoot is hilarious – they’re styled like they’re out of a Brunello Cucinelli ad as opposed to, say, anyone about to till the land.” Ritchie’s 2024 Netflix hit series The Gentlemen was an early instigator of the trend.",2025-10-24T15:12:00Z
trend,social-media,after,"“The trend is irreversible,” said Liviu Gavrilă, vice-president of the Romanian Wind Energy Association and manager at Enery, which is building the solar farm.",2026-02-11T06:00:10Z
trend,social-media,after,"Vogue aired a matter of public import last week, posing the question on all our lips: “Can Sarah Jessica Parker make the wide-open bag trend happen?” Pictures of the Fendi bag in question showed it shamelessly flaunting its purple sequinned lining for all the world to see.",2025-11-17T11:00:05Z
trend,social-media,after,"Apparently, it’s deliberate (the bag went down the catwalk like that, keep up) and part of a wider trend for gaping leather goods: “We saw similar styles at Loewe, Chanel and Louis Vuitton.” So, can she?",2025-11-17T11:00:05Z
trend,social-media,after,"But if anyone can make an unlikely trend happen, it’s SJP.",2025-11-17T11:00:05Z
trend,social-media,after,"It fits in with the maximalist trend for richly coloured and patterned decor that Libery says helped to drive a 10% rise in sales at its retail arm last year, to about £142m, and a double-digit rise in profits.",2026-02-08T11:00:29Z
trend,social-media,after,"After dropping to nearly 50-year lows of 3.4% in late 2022, the Reserve Bank of Australia and Treasury had both expected this rising trend to stop at about 4.3%.",2025-10-17T06:33:50Z
trend,social-media,after,"The AMP chief economist, Shane Oliver, says that the jobless rate is “in a clear rising trend”.",2025-10-17T06:33:50Z
trend,social-media,after,Football’s lawmakers are considering taking action against the most fashionable trend in the game: long throws.,2025-10-28T21:01:31Z
trend,social-media,after,"The rosorange cuvée is now in its second year at Aldi, but only time will tell if this trend is here to stay.",2025-07-31T12:00:54Z
trend,social-media,after,"A comedy about animal cops investigating a reptilian mystery has become the highest-grossing foreign animated film ever in China, bucking the trend of declining interest in overseas productions that has resulted in Hollywood films struggling in the Chinese box office.",2025-12-06T01:00:38Z
trend,social-media,after,"Nonetheless, Zootopia 2’s success bucks the trend for US releases in China.",2025-12-06T01:00:38Z
trend,social-media,after,"The government has pushed a patriotic trend in blockbuster releases, with many of the most popular films being so-called “wolf warrior” epics such as The Battle at Lake Changjin, a 2021 Communist party-sponsored film that depicts Chinese soldiers battling Americans in the Korean war.",2025-12-06T01:00:38Z
trend,social-media,after,"I’m guessing this is a gen Z social media trend, right?",2025-07-09T16:01:37Z
trend,social-media,after,"For all these peculiarities, Trump’s disfiguring the White House fits into a larger global trend: far-right populist leaders in many countries have used spectacular architecture to advance their political agenda and, more particularly, to set their vision of a “real people” – as in “real Americans”, “real Hungarians” et cetera – in stone.",2025-10-26T13:00:03Z
trend,social-media,after,"In my research into the #boysober trend, I found that it’s far more than a viral challenge.",2025-11-12T14:00:58Z
trend,social-media,after,"The proportion hovered at 11 or 12% most years to 2009, since when it has been at 13-14% – a trend which, if anything, goes against the assumption that everybody stopped taking corners seriously in the peak years of guardiolismo only to rediscover their love of a booming inswinger last season (when, in fact, the proportion of goals from corners fell to its lowest level since 2013-14).",2025-11-01T20:00:42Z
trend,social-media,after,"The International Football Association Board, concerned by a fall in ball-in-play time as players prepare for long throws, is considering a 30-second limit on taking a throw (although if this is a decision based on entertainment, it’s arguable that Brentford fans derive more pleasure from the anticipation of Kayode than they would from a quickly taken throw that leads to the ball being lost) but the reality is that defenders will probably work out a way of clearing throws – which may even be as simple as picking centre-backs for how well they can mark and head rather than their range of passing – and the present trend will fade away.",2025-11-01T20:00:42Z
trend,social-media,after,"Arguably the poster girl of 2016’s spirit (for better or worse), Kylie Jenner, even hopped on to the trend and shared images that were the envy of almost all young girls at the time.",2026-01-19T23:55:11Z
trend,social-media,after,"As ever, lumping all 20 teams into the same trend is simplistic.",2025-10-06T19:55:36Z
trend,social-media,after,“The ‘newstalgia’ trend enables adults to return to their childhood.,2025-10-06T09:38:34Z
trend,social-media,after,"You see, there’s one other trend that has emerged from word of the year recently, and it’s one I can get behind: the fun words.",2025-12-20T10:00:26Z
trend,social-media,after,"It was a debate freshly renewed this week when Nadine Rennie, a co-chair of the Casting Directors’ Guild, warned the trend was “killing” the industry, and mid-scale theatres would be the first to go – despite being where the household names of the future cut their teeth.",2025-10-24T12:59:19Z
trend,social-media,after,"Shares in the US footwear company Crocs have slumped by almost 30% after it warned of falling sales because of tariffs, “super cautious” US consumers and signs the “ugly shoe” trend could be on the wane.",2025-08-08T08:30:34Z
trend,social-media,after,"However, while Crocs have a broad appeal and are worn by celebrities including Drew Barrymore, Rees acknowledged customer tastes were changing with a trend “back towards athletic” footwear in favour of sports brands, before the men’s football World Cup next year and the Los Angeles Olympics in 2028.",2025-08-08T08:30:34Z
trend,social-media,after,Burnley Reasons to be cheerful There are numerous reasons behind the growing trend of promoted teams going straight back down with a decreasing number of points.,2025-08-15T07:00:24Z
trend,social-media,after,"More about psyllium husk *** Fibermaxxing As protein mania reaches a fever pitch, consumers are already looking toward the next nutrition trend.",2025-12-29T17:53:52Z
trend,social-media,after,"Read more Blockbuster, board games and boredom: why everyone’s parenting like it’s 1999 With parents across the world worried about their kids’ access to smartphones and the internet, a new trend for older, less all-encompassing technology is giving an unlikely rebirth to landline phones, board games and, for one parent at least, an entire at-home replica Blockbuster video store, as Rhiannon Lucy Cosslett discovered.",2025-08-23T05:00:52Z
trend,social-media,after,"Bologna, widely admired for a transfer strategy which relies on unearthing hidden gems and then moving them on for huge profit, continued the trend of “big five” clubs shopping in Scandinavia with their £7.4m acquisition of Eivind Helland, a hulking 20-year-old centre-back, from Brann, while Lyon followed suit with the £6.5m transfer of Noah Nartey from Brøndby.",2026-02-03T13:00:07Z
trend,social-media,after,There are lots of rat people out there: it’s a whole trend in China.,2025-04-29T14:51:39Z
trend,social-media,after,"If the thought of pumping iron or holding a plank doesn’t put a spring in your step, maybe the latest exercise trend to dominate social media will: Japanese interval walking.",2025-08-09T09:00:04Z
trend,social-media,after,"This is a reminder that climate change does not follow a smooth path but a jagged one, with many small ups and downs within a larger trend.",2025-06-26T05:00:49Z
trend,social-media,after,"More recent Nasa data suggests the snowfall trend observed in the report had disappeared by 2025, with precipitation dropping back to pre-2020 levels.",2025-06-26T05:00:49Z
trend,social-media,after,"As some people are more conditioned to wearing a dress, or heels, it was really the easiest way to fulfil the brief.” These trouser-free outfits consolidated a trend that has been growing legs in the last few years: the “day knicker”.",2025-05-09T14:00:28Z
