word,event,period,sentence,timestamp
troll,social-media,after,"‘We’re going to need more wallpaper” turns out to be the Nordic answer to “We’re going to need a bigger boat”, after a 50-metre troll has just swept a leg through someone’s soon-to-be-renovated house.",2025-11-27T08:00:22Z
troll,social-media,after,"This is a Netflix sequel to Norwegian horror comedy Troll with the original director Roar Uthaug returning, and home is clearly a theme dear to the franchise’s heart.",2025-11-27T08:00:22Z
troll,social-media,after,"But the new “megatroll” – looking like Danny McBride in the throes of a full-body fungal infection – is headed for Trondheim, bent on revenging itself on the nation’s founding father and chief troll-scourge, King Olaf.",2025-11-27T08:00:22Z
troll,social-media,after,"But if Troll 2 is some kind of allegory for immigration or multiculturalism, then it wears it lightly.",2025-11-27T08:00:22Z
troll,social-media,after,"The problem though, is that Troll 2 wears everything lightly.",2025-11-27T08:00:22Z
troll,social-media,after,"The characterisation is token (Nora expeditiously switches from troll-whisperer to firing on them with holy water-filled grenades), and the quip embellishment is weak.",2025-11-27T08:00:22Z
troll,social-media,after,• Troll 2 is available on Netflix on 1 December.,2025-11-27T08:00:22Z
troll,social-media,after,"Ellen E Jones Film choice Troll 2 (Roar Uthaug, 2025), Netflix World cinema connoisseurs will no doubt remember Troll, the 2022 Norwegian kaiju movie about a giant ancient rock monster that goes on the rampage through Oslo.",2025-12-01T06:20:27Z
troll,social-media,after,"Troll 2 is the largest production of all time in the Nordic countries, and it shows.",2025-12-01T06:20:27Z
troll,social-media,after,"Epic troll-on-troll action, a troll named Megatroll and a higher focus on humour – witness the scene where influencers grab selfies with a troll before it attacks them – should ensure that the sequel is even more successful.",2025-12-01T06:20:27Z
troll,social-media,after,"I used to be a massive troll and bitch on the internet, and it’s because I wasn’t getting laid and I was unhappy and I hadn’t dealt with my mental health.",2025-04-20T00:00:53Z
troll,social-media,after,"Sunday 30 November, 2.05pm, BBC One *** Troll 2 The world cinema connoisseurs among you will no doubt remember Troll, the 2022 Norwegian kaiju movie about a giant ancient rock monster that goes on the rampage through Oslo.",2025-11-28T09:00:01Z
troll,social-media,after,"Troll 2 is the largest production of all time in the Nordic countries, and it shows.",2025-11-28T09:00:01Z
troll,social-media,after,"Epic troll-on-troll action, a troll named Megatroll and a higher focus on humour – witness the scene where influencers grab selfies with a troll before it attacks them – should ensure that the sequel is even more successful.",2025-11-28T09:00:01Z
troll,social-media,after,"Critics see Strike 3 differently – the country’s leading “copyright troll”, or a rightsholder who treats litigation as a business model, rather than a means of protecting their work.",2025-11-04T12:18:28Z
troll,social-media,after,"The copyright troll emerged from the 2000s internet, when the proliferation of peer-to-peer sharing tools first gave the public unprecedented access to almost any copyrighted work – be it My Little Pony Crystal Princess: The Runaway Rainbow (2006) or bootleg footage of the heavy metal Fuck Christ Tour ‘93.",2025-11-04T12:18:28Z
troll,social-media,after,Not every porno-troll went to such overtly illegal lengths.,2025-11-04T12:18:28Z
troll,social-media,after,"“You know he’s trolling us and we shouldn’t take the bait, but with this guy, every troll is a trial balloon.",2025-02-21T15:03:40Z
troll,social-media,after,"That day, hidden in my Instagram message requests, was a troll.",2025-05-07T05:55:06Z
troll,social-media,after,"Although the account had no pictures uploaded and the username made no sense to me, my troll was following one other user: a guy around my age with whom I shared a few mutual friends.",2025-05-07T05:55:06Z
troll,social-media,after,"He forwarded me the messages and I was shocked to discover the troll’s identity – it was someone I knew, although not well, and not someone I would ever have suspected.",2025-05-07T05:55:06Z
troll,social-media,after,"Although we weren’t close, my troll and I had hung out enough times for them to know how to aim barbs that cut deep.",2025-05-07T05:55:06Z
troll,social-media,after,"At first, I sought revenge; rather than reporting or confronting my troll, I posted the screenshots to my Instagram stories, letting everyone know I’d worked out who had sent the messages.",2025-05-07T05:55:06Z
troll,social-media,after,I felt self-conscious and stressed – not to mention worried that I might run into my troll in person.,2025-05-07T05:55:06Z
troll,social-media,after,"But after discovering my troll’s identity, I began doubting the intentions of anyone I’d spent time with.",2025-05-07T05:55:06Z
troll,social-media,after,"Although I had encountered my troll in person, I realised I didn’t need to give their comments any more weight than I would those of any other malicious keyboard warrior.",2025-05-07T05:55:06Z
troll,social-media,after,The brief pangs of pain caused by the words of a troll are surely much easier to live with than being the person who has sent them – someone who goes out of their way to prod at the insecurities of others and cause distress.,2025-05-07T05:55:06Z
troll,social-media,after,"When the German chancellor, Olaf Scholz, was asked in an interview about the barrage of insults being directed at him and other German leaders by Elon Musk, the world’s richest man, his reply was: “Don’t feed the troll.” Speaking to the German weekly Stern, Scholz described the criticisms as nothing new.",2025-01-05T12:39:02Z
troll,social-media,after,"“The rule is: don’t feed the troll.” It was the chancellor’s most direct response to Musk, coming days after he urged voters not to let the “owners of social media channels” decide the outcome of the general election in a New Year’s Eve address that did not mention Musk by name nor his platform X.",2025-01-05T12:39:02Z
troll,social-media,after,"They have passionate sex there but the resulting baby is a brutal, hirsute, bloodsucking troll that destroys Saga’s marriage and happiness.",2026-02-15T18:33:02Z
troll,social-media,after,"Now smartly retitled as Troll: A Love Story, and with only the odd reference to Windows 98 and CD-Roms to show its age, Finnish novelist Johanna Sinisalo’s debut feels fresh and bright.",2024-12-01T13:00:08Z
troll,social-media,after,"But now – around the year 2000 – trolls are finding their way into cities, and the story opens with a young gay photographer, Angel, rescuing a troll from a bunch of thugs.",2024-12-01T13:00:08Z
troll,social-media,after,Troll goes in different directions at once.,2024-12-01T13:00:08Z
