word,event,register,period,sentence,timestamp
tweet,social-media,formal,before,"""I am going to tweet three new songs this week,"" Skinner tweeted in April.",2009-05-21T23:01:00Z
tweet,social-media,formal,before,Gary Go – Open Arms Barely a day goes by without some kind of bulletin/press release/tweet from News of the World's Dan Wooton about Gary Go.,2009-05-20T14:09:05Z
tweet,social-media,formal,before,"That is down to how you interpret and act on the data, spurring Microsoft to announce the launch of its energy management service, Hohm (microsoft-hohm.com), while the German utility Yello Strom, the first European company to use Google's PowerMeter (google.org/powermeter), has developed a prototype application that lets its meters tweet customers' energy consumption.",2009-08-26T17:30:00Z
tweet,social-media,formal,before,Latest tweet: The Reindeer are energized!,2008-12-24T15:45:47Z
tweet,social-media,formal,before,d) Thinking its OK to put kisses on a tweet.,2009-09-24T11:42:24Z
tweet,social-media,formal,before,"During Obama's campaign, the @BarackObama handle was used to tweet news to followers, but this was abandoned after a ""We just made history"" post dated Nov 5th, 2008.",2009-01-20T21:26:22Z
tweet,social-media,formal,before,"A ""Tweet your scream"" campaign was launched.",2009-11-21T00:10:00Z
tweet,social-media,formal,before,And he quotes a tweet from New York Times data journalist and developer Derek Willis that most of the data was not going to make waves.,2009-05-28T14:53:04Z
tweet,social-media,formal,before,News is spread in the speed of a tweet.,2009-05-31T23:01:00Z
tweet,social-media,formal,before,The LCROSS probes are going to tweet their own demise – and you can see these last missives on the right of this page.,2009-10-09T10:34:49Z
tweet,social-media,formal,before,"And if you've nothing better to do you can also Tweet the Fiver now, as well as Guardian sport.",2009-07-16T16:00:00Z
tweet,social-media,formal,before,"Feedback sections of blogs will start to include 'Tweetbacks', which could show the number of times the links had been forwarded via Twitter (that would be complicated by URL shorteners though, like TinyURL) or mixing Tweet comments with regular comments.",2009-01-06T12:01:31Z
tweet,social-media,formal,before,And if you've nothing better to do you can also Tweet the Fiver now.,2009-12-08T16:50:47Z
tweet,social-media,formal,before,"And if you've nothing better to do you can also Tweet the Fiver now, as well as Guardian sport.",2009-07-20T16:00:00Z
tweet,social-media,formal,before,"If you would have said two years ago that politicians would soon be falling over one another in the rush to ""tweet"" constricted messages of no more than 140 characters several times a day to keep in contact with their ""followers"", you would have been laughed at.",2009-07-02T12:00:00Z
tweet,social-media,formal,before,"Now he would be required to tweet every 15 minutes about Marley's bowel movements.) Of course, the fictional Grogan demonstrates his manliness by being wryly bemused by this column he has to write and still pining for a tough Woodward-and-Bernstein career - as opposed to, say, gloating from day one about his upcoming movie deal.",2009-03-13T00:01:00Z
tweet,social-media,formal,before,And if you've nothing better to do you can also Tweet the Fiver now.,2009-10-08T16:00:00Z
tweet,social-media,formal,before,And if you've nothing better to do you can also Tweet the Fiver now.,2009-12-04T16:32:38Z
tweet,social-media,formal,before,"And if you've nothing better to do you can also Tweet the Fiver now, as well as Guardian sport.",2009-08-03T16:00:00Z
tweet,social-media,formal,before,And if you've nothing better to do you can also Tweet the Fiver now.,2009-11-04T16:53:29Z
tweet,social-media,formal,before,And if you've nothing better to do you can also Tweet the Fiver now.,2009-12-01T17:11:22Z
tweet,social-media,formal,before,My tweet received one retweet and no @ responses.,2009-04-02T13:30:01Z
tweet,social-media,formal,before,And if you've nothing better to do you can also Tweet the Fiver now.,2009-09-03T16:00:00Z
