word,event,register,period,sentence,timestamp
remote,covid-19,formal,before,"For the past two years, scientists from the nearby Monterey Bay Aquarium Research Institute have been using customised remote-control submersibles to take samples of the near-invisible plastic drifting far below the surface.",2019-12-31T21:54:12Z
remote,covid-19,formal,before,The remote samplers were still finding plastic at their maximum depth of 1km.,2019-12-31T21:54:12Z
remote,covid-19,formal,before,"“Because of the damage to phone towers and also lack of reception in some of the remote communities, it is difficult to contact everybody at this time.” RFS commissioner Shane Fitzsimmons also spoke and said there will be a “heavy toll” in terms of property damage.",2019-12-31T09:45:25Z
remote,covid-19,formal,before,"A VPN app creates an encrypted “tunnel” between your device and a remote server, protecting your data from snooping hackers.",2019-12-31T08:00:30Z
remote,covid-19,formal,before,"Cherrypicking workers The other half of gig work is remote – providing digital services, such as data entry and programming, on platforms such as Upwork, Freelancer and Fiverr, which act as auction houses for human labour, where people place a bid to do the work on offer.",2019-12-30T16:01:39Z
remote,covid-19,formal,before,"Make Up Claire Oakley’s buzzy, low-budget debut is set on a remote Cornish holiday park; a young woman develops a dangerous obsession after suspecting her boyfriend has been unfaithful.",2019-12-30T14:47:43Z
remote,covid-19,formal,before,"I managed to bag a decent spot for a tight shot of him crossing the line, so I set up a remote camera with a wider angle designed specifically to include a lot of the crowd.",2019-12-30T08:00:02Z
remote,covid-19,formal,before,Part of this strategy involves putting a couple of remote cameras at the largest fence on the course.,2019-12-30T08:00:02Z
remote,covid-19,formal,before,So I managed to get permission to clamp a remote camera high up on the scaffolding supporting the temporary TV studio.,2019-12-30T08:00:02Z
remote,covid-19,formal,before,"But who can look back a decade when a week in Trump time is like a century, and hardly anyone can remember the overstuffed chaos of the month before, let alone 2017, to say nothing of the remote era before he was president?",2019-12-29T15:01:43Z
remote,covid-19,formal,before,On-the-ground problems will not be solved by a remote restructuring.,2019-12-29T07:15:31Z
remote,covid-19,formal,before,"Running a public pool is expensive in the suburbs, let alone in a remote location in central Australia where water is a precious resource.",2019-12-28T19:00:17Z
remote,covid-19,formal,before,"It will also fund primary and secondary education opportunities for young people, as well as bush culture camps, a new cool room for the remote community of Imanpa, and restoring the church at Pukaja (Ernabella).",2019-12-28T19:00:17Z
remote,covid-19,formal,before,"And is there a lifeline, however remote, for the home side?",2019-12-28T12:22:07Z
remote,covid-19,formal,before,Thwaites glacier is one of the most remote and inhospitable places on Earth.,2019-12-28T07:00:03Z
remote,covid-19,formal,before,"The company had attempted to build a large-scale luxury resort at the remote property but pulled the proposal in 2016 after planning and environmental difficulties, including concern for a local population of spotted-tailed quolls.",2019-12-27T19:00:47Z
remote,covid-19,formal,before,"“These studies showing just how much plastic is in the air are a wake-up call,” said Steve Allen, at the EcoLab research institute near Toulouse, France, and whose own work has shown microplastic air pollution in remote mountain areas.",2019-12-27T11:00:38Z
remote,covid-19,formal,before,"In the remote north-eastern plains of Montana near the Canadian border, more than 30 miles from the nearest incorporated town, Simonson awakens most days around 8am on the family ranch.",2019-12-25T08:00:37Z
remote,covid-19,formal,before,Perhaps the only thing worse than the hard border itself is the in-between places it breeds: Australia’s offshore detention centres; the Mexican borders towns where refugees and asylum seekers are sent to await their application’s fate; the Greek holding camps where Africa and the Middle East’s desperate and hungry hang their hopes on the remote promise of a future in northern or western Europe.,2019-12-24T01:03:04Z
remote,covid-19,formal,before,"Women Talking by Miriam Toews is “wonderful” says safereturndoubtful: Between 2005 to 2009, a remote Mennonite community in Bolivia was haunted by a supposed demon that was raping the colony’s women.",2019-12-23T15:00:47Z
