target word,event id,register,entropy shift,drift score,disruption score
clout,social-media,Informal,0.4849397540361446,-0.030120481927710847,0.9999999900000001
creator,social-media,Informal,0.13655751352532502,0.009204585676195233,0.2639104413744548
binge,streaming,Informal,0.1041440395091034,-0.002081090569374586,0.2103691695875814
cancel,me-too,Informal,0.05106093957953973,0.002744016283058743,0.09937786287602071
beta,fanfic,Informal,0.0947198700937879,0.004481668612625461,0.18495807157495034
brat,brat-album,Informal,0.10004962247349503,-0.026649212429164227,0.2267484573761543
algorithm,ai-automation,Informal,0.1646655125025043,-0.08832736209743058,0.4176583871024392
clanker,star-wars,Informal,0.8050190041521187,0.6100380183042373,0.9999999900000001
bubble,covid-19,Informal,0.17785887588830845,0.04341861791913596,0.3122991338574809
chat,e-gaming-recent,Informal,0.4849397540361446,-0.030120481927710847,0.9999999900000001
catfish,catfish-show,Informal,0.12224815832842785,-0.053358961401353246,0.29785527805820894
alpha,fanfic,Informal,0.4849397540361446,-0.030120481927710847,0.9999999900000001
canon,fanfic,Informal,0.4849397540361446,-0.030120481927710847,0.9999999900000001
buff,e-gaming-recent,Informal,0.4849397540361446,-0.030120481927710847,0.9999999900000001
